B66F   3/43  \	2	2	3F312	B66F   3/43	21	爆発式ジャッキ［３］	Pyrotechnical jacks [3]
B66F   3/44  \	1	1	3F312	B66F   3/44	222	自己内蔵電動機をもつもの	with self-contained electric driving motors
B66F   3/46  \	1	1	3F312	B66F   3/46	353	上昇または下降運動を相互に関係させる手段を有する数個のジャッキの組み合わせ	Combinations of several jacks with means for interrelating lifting or lowering movements
B66F   5/00  \	0	0	3F312	B66F   5/00	20	車輪上またはローラ上にすえ付けられたガレージ型の移動ジャッキ	Mobile jacks of the garage type mounted on wheels or rollers
B66F   5/00  A	0	0	3F312	B66F   5/00	13	車輪以外の移動手段に特徴を持つもの〔例．クロ−ラ，ラツクピニオンにより移動するもの〕「図」	Characterised by moving means excluding wheels, e.g. moving by crawlers or rack and pinion [figure]
B66F   5/00  B	0	0	3F312	B66F   5/00	55	ジヤツキの停止手段に特徴を持つもの〔例．押上時にジヤツキの底面が床面に接するよう下降するもの，輪止め機構〕「図」	Characterised by means for stopping jacks, e.g. bottom surface of jack is lowered during jacking up so that it contacts with floor, wheel stopper mechanisms [figure]
B66F   5/00  C	0	0	3F312	B66F   5/00	78	荷係合部〔例．受皿〕の特徴〔注．ネジ式ジヤツキの受皿，３／０８Ｂ，トグル式ジヤツキの受皿，３／１２Ｆ，流体式ジヤツキの受皿，３／３６〕「図」	Features of .load engaging portions, e.g. receptacle (note: Receptacles for screw jacks 3/08 B, receptacles for toggle jacks 3/12 F, receptacles for hydraulic jacks 3/36) [figure]
B66F   5/00  Z	0	0	3F312	B66F   5/00	150	その他のもの「図」	Others [figure]
B66F   5/02  \	1	1	3F312	B66F   5/02	112	機械的もち上げ伝動装置をもつもの	with mechanical lifting gear
B66F   5/04  \	1	1	3F312	B66F   5/04	358	流体圧で操作されるもち上げ伝動装置をもつもの	with fluid-pressure-operated lifting gear
B66F   7/00  \	0	0	3F330	B66F   7/00	65	もち上げ枠，例．車両をもち上げるためのもの；プラットフォームリフト（リフティングプラットフォームトラックＢ６６Ｆ９／０６）	Lifting frames, e.g. for lifting vehicles; Platform lifts (for lift-truck platforms B66F 9/06)
B66F   7/02  \	1	1	3F330	B66F   7/02	46	ロープ，ケーブル，またはチェーンから懸吊されるプラットフォームをもつもの	with platforms suspended from ropes, cables, or chains
B66F   7/02  A	1	0	3F330	B66F   7/02	101	支持フレーム，すなわち少なくとも支柱から成る支持部と，これに対し索体によつて昇降する載置部材とを有するもの〔注．原則として車輪等により横行するものは含まない。　載置部に代えて吊下部を持つもの→クレーン，Ｂ６６Ｃ，　載置部にスライディングフォークを有し横行するもの→スタッカクレーン，Ｂ６５Ｇ１／００，Ｂ６６Ｆ９／０７，　建造物の上部から索体により載置部が吊り下げられるもの→建設用足場，ゴンドラ，Ｅ０４Ｇ，　シャフト内を昇降し床間その人荷の運搬に供されるもの→エレベータ，Ｂ６６Ｂ　載置部に代え特定の物「図」	characterized by the installation of a supporting frame, that is, a supporting portion consisting of at least a supporting pole and mounted members that are ascended/descended by the tracting cable with respect to the abovementioned frame.  [Notes: In principle, supporting frames that are made horizontally slidable by using wheels, etc., are not included. When there exists the suspension portion in place of the mounting portion, B66C Crane, shall be assigned. When there exists a sliding fork that enables the horizontal movement at the mounting portion, B65G1/00, B66F9/07 Stacker crane, shall be assigned. When the mounting portion is suspended from the upper portion of a building by using the tracting cable, E04G Construction scaffold, Gondola, shall be assigned. When there exists the function to convey staff and cargo by ascending/descending the platform in the shaft, B66B Specific items in place of the mounting portion, shall be assigned.][figure]
B66F   7/02  B	1	1	3F330	B66F   7/02	191	片持式〔一柱式〕の支持構造に特徴のあるもの「図」	Characterised by cantilever (one column) supporting structures [figure]
B66F   7/02  C	1	2	3F330	B66F   7/02	43	車両持上用一柱式リフト「図」	One-column lifts for lifting vehicles [figure]
B66F   7/02  D	1	2	3F330	B66F   7/02	52	支柱または荷台が垂直軸まわりに回動可能なもの「図」	posts or platforms that can be revolved around vertical axis [figure]
B66F   7/02  E	1	2	3F330	B66F   7/02	180	索体駆動，ガイド手段，索体配置の特徴「図」	Features of rope drives, guiding means, rope arrangements [figure]
B66F   7/02  F	1	1	3F330	B66F   7/02	129	両持式〔二柱式〕の支持構造に特徴のあるもの〔注．かならずしも二柱間につながつた荷台を有することを要しない。一対の片持式リフトを連動させるものも，物品を両支柱間に両持支持するものは含む。「図」	Characterised by double support (two posts) structures (note: It is not mandatory to have platform connected to both posts.  Also includes a pair of cantilever lifts mutually interlocked if they support articles between two posts. [figure]
B66F   7/02  G	1	2	3F330	B66F   7/02	13	支柱または荷台が垂直軸まわりに回動可能なもの「図」	posts or platforms that can be revolved around vertical axis [figure]
B66F   7/02  H	1	2	3F330	B66F   7/02	144	車両持上用二柱式リフト〔注．荷台，７／２８Ｂ〕「図」	Two-column lifts for lifting vehicles (note: Platforms 7/28 B) [figure]
B66F   7/02  J	1	2	3F330	B66F   7/02	272	索体駆動，ガイド手段，索体配置の特徴〔例．一台のドラムにより荷台の四隅を連動して吊上げるためのワイヤ掛けまわし構造〕「図」	Features of rope drives, guiding means, rope arrangements, e.g. wiring mechanism for lifting four corners of platform using one drum [figure]
B66F   7/02  N	1	0	3F330	B66F   7/02	80	索体によりテレスコピック状に伸縮し，最上部に設けた荷台を昇降させるもの〔注．高所作業車は，９／０６Ｎ〕「図」	telescopically expanded and contracted by rope for rising and falling platform provided at the highest position (note: Truck lifts 9/06 N) [figure]
B66F   7/02  Z	1	0	3F330	B66F   7/02	50	その他のもの	Others
B66F   7/04  \	2	2	3F330	B66F   7/04	181	液圧または空気圧によって駆動されるもの	hydraulically or pneumatically operated
B66F   7/06  \	1	1	3F330	B66F   7/06	20	垂直移動のためレバーによって支持されるプラットフォーム	with platforms supported by levers for vertical movement
B66F   7/06  A	1	0	3F330	B66F   7/06	116	フレーム，底部構造の特徴〔例．キヤスター輪，特定の用途に適応させるための特定の形態，すべり止め〕〔注．リンクによる昇降機構としての原理は，３／１２トグルレバーからなるジャッキと同じである。相異は，ジャッキが一点をスポット的に支持し持上げるのに対し，プラットフォームは多点あるいは面を支持し持上げる点にある。自動車に載置された，操作部を持つプラットフォームは，９／０６Ｋ，Ｐが優先〕「図」	characterised by frames, bottom structures, e.g. caster wheels, specific forms adapted for specific applications (Note: Principles of link elevating mechanisms are the same ones of jacks consisted of  toggle levers (3/12) .  While jacks support and lift o
B66F   7/06  B	1	0	3F330	B66F   7/06	234	リンクの構造に特徴を持つもの〔例．リンクアーム，リンクガイド，リンクの配置〕「図」	characterised by linkage structures, e.g. linkage arms, linkage guide, linkage arrangements [figure]
B66F   7/06  C	1	1	3F330	B66F   7/06	169	Ｘ字型，パンタグラフ型以外の特殊形状のリンクに特徴を持つもの〔例：Ｙ型，Ｖ型，板状リンク〕「図」	characterised by linkages with special profiles excluding X-shaped or pantograph type, e.g. Y-shaped, V-shaped, or sheet linkage [figure]
B66F   7/06  E	1	0	3F330	B66F   7/06	176	車両持上用リフト〔注．吊下式のものは，７／０２Ｃ，Ｈ，Ｍ〕「図」	lifts for lifting vehicles (note: suspended type 7/02 C, H, M) [figure]
B66F   7/06  F	1	0	3F330	B66F   7/06	311	駆動部〔ネジ杆，ナット，原動部，補助付勢手段〕「図」	drives (screw levers, nuts, motors, auxiliary biasing means) [figure]
B66F   7/06  Z	1	0	3F330	B66F   7/06	51	その他のもの	Others
B66F   7/08  \	2	2	3F330	B66F   7/08	47	液圧または空気圧によって駆動されるもの	hydraulically or pneumatically operated
B66F   7/08  A	2	0	3F330	B66F   7/08	80	流体圧駆動手段の特徴〔例：流体源，油圧回路，回転型アクチュエータ〕「図」	Features of hydraulic drive means (e.g. hydraulic sources, hydraulic circuits, rotary actuators) [figure]
B66F   7/08  B	2	0	3F330	B66F   7/08	83	シリンダ以外の伸縮式アクチュエータ〔例．ベローズ〕を備えたもの〔注．ベローズジャッキ，３／３５〕「図」	with telescopic actuators excluding cylinders, e.g. bellows (note: Bellows jacks 3/35) [figure]
B66F   7/08  C	2	0	3F330	B66F   7/08	393	シリンダを備えたリンク式プラットフォーム「図」	Linkage platforms provided with cylinder [figure]
B66F   7/08  D	2	1	3F330	B66F   7/08	94	リンクの折畳み状態からの起動を容易にする構造〔例：力の作用方向を変える補助カム，補助シリンダ〕「図」	Structures facilitating start-up from folded linkage position, e.g. auxiliary cam for changing acting direction of force, auxiliary cylinder) [figure]
B66F   7/08  E	2	1	3F330	B66F   7/08	112	特に揺動しないシリンダを用いるもの〔例：垂直または水平に配置されたリフトシリンダ，直接支持，７／１０に対し優先〕「図」	using of cylinder not oscillated in particular, e.g. lift cylinder arranged horizontally or vertically, direct support, Takes precedence to 7/10) [figure]
B66F   7/08  F	2	1	3F330	B66F   7/08	101	特にパンタグラフ型の多段リンクを持つもの「図」	with pantograph type multi-step linkages in particular [figure]
B66F   7/08  Z	2	0	3F330	B66F   7/08	28	その他のもの	Others
