C22B15/0078	アンモニア性溶液によるもの例．水酸化アンモニウム
C22B15/008	アルカリまたはアルカリ土類金属の塩を含有する非酸溶液によるもの
C22B15/0082	水によるもの
C22B15/0084	処理溶液　（有機化合物によるもの　Ｃ２２Ｂ３／０００４）
C22B15/0086	物理的方法によるもの
C22B15/0089	化学的方法によるもの
C22B15/0091	セメンテーション
C22B15/0093	ガス，例．水素または硫化水素，によるもの
C22B15/0095	工程制御または調製方法
C22B15/0097	硫黄の放出の低減化
C22B17/00	カドミウムの採取
C22B17/02	乾式法によるもの
C22B17/04	｛ＩＰＣ　４｝　湿式法によるもの
C22B17/06	精製
C22B19/00	亜鉛または亜鉛酸化物の採取
C22B19/02	鉱石の予備処理；亜鉛酸化物の予備精製
C22B19/04	蒸留法によるもの
C22B19/06	マッフル炉によるもの
C22B19/08	溶鉱炉によるもの
C22B19/10	反射炉によるもの
C22B19/12	るつぼ炉によるもの
C22B19/14	立型レトルトによるもの
C22B19/16	蒸留窯によるもの
C22B19/18	コンデンサ，受け皿
C22B19/20	蒸留法以外の亜鉛の採取
C22B19/22	｛ＩＰＣ　４｝　酸浸出によるもの
C22B19/24	｛ＩＰＣ　４｝　アルカリ溶液，例．アンモニア，浸出によるもの
C22B19/26	｛ＩＰＣ　４｝　精製溶液　｛亜鉛を含有するもの，例．｝　亜鉛鉱石浸出によるもの（[Ｎ:　液−液抽出，イオン交換または吸着による溶液の処理または精製　Ｃ２２Ｂ３／００]）
C22B19/28	マッフル炉残渣からの採取
C22B19/30	金属質残渣またはスクラップからの採取
C22B19/32	亜鉛の精製
C22B19/34	亜鉛酸化物の採取（亜鉛酸化物の純化Ｃ０１Ｇ９／０２）
C22B19/36	溶鉱炉または反射炉によるもの
C22B19/38	回転炉によるもの
C22B21/00	アルミニウムの採取
C22B21/0007	原鉱石，スクラップまたは他の金属源の予備的処理一般　（バイヤープロセス　Ｃ０１Ｆ）
C22B21/0015	湿式法によるもの　（Ｃ２２Ｂ２１／０２，　Ｃ２２Ｂ２１／０４　および　Ｃ２２Ｂ２１／０６が優先）
C22B21/0023	廃材料からのもの
C22B21/003	使用済み触媒からのもの
C22B21/0038	他の方法によるもの（電解　Ｃ２５Ｃ；　Ｃ２２Ｂ２１／０２およびＣ２２Ｂ２１／０４が優先）
C22B21/0046	アルミニウムハロゲン化物からのもの
C22B21/0053	他のアルミニウム化合物からのも
C22B21/0061	金属，例．水銀またはマンガン，を用いるもの
C22B21/0069	　アルミニウムのスクラップ，浮きカスまたは二次的な供給源からのもの，例．合金成分の回収　（Ｃ２２Ｂ２１／００４６，　Ｃ２２Ｂ２１／００５３および　Ｃ２２Ｂ２１／００９２が優先）
C22B21/0076	使用済み触媒からのもの
C22B21/0084	アルミニウムの溶融および溶融アルミニウムの取り扱い（Ｃ２２Ｂ２１／０２，　Ｃ２２Ｂ２１／０４　およびＣ２２Ｂ２１／０６が優先）
C22B21/0092	アルミニウムのスクラップ，浮きカスまたは二次的な供給源の再溶融
C22B21/02	還元剤を用いるもの　｛（Ｃ２２Ｂ２１／０４が優先）｝
C22B21/04	アルカリ金属を用いるもの　｛アルカリ土類金属を含むもの｝
