G07F15/10	警報または警告装置をもつもの，例．供給の中断を知らせるもの
G07F15/12	計量が時間により行われるもの
G07F17/00	物品の賃貸用コイン解放装置；コイン解放設備または施設（ジュークボックスＧ０３Ｂ；先払い電話方式Ｈ０４Ｍ１７／００）
G07F17/0007	｛時計仕掛けに関するもの，例．目覚まし時計，節約時計｝
G07F17/0014	
G07F17/0021	
G07F17/0028	
G07F17/0035	
G07F17/0042	
G07F17/005	
G07F17/0057	
G07F17/0064	
G07F17/0071	
G07F17/0078	
G07F17/0085	
G07F17/0092	
G07F17/02	光学装置，例．望遠鏡，に関するもの
G07F17/04	体重，身長，力などの人体測定機に関するもの
G07F17/045	｛人の体重の測定に関するもの（重量測定装置一般Ｇ０７Ｆ１７／２６３）｝
G07F17/06	空気入れに関するもの
G07F17/08	椅子または足台に関するもの
G07F17/10	一時的に放置する所有物の安全保管のための手段に関するもの，例．所有物の締付具
G07F17/105	｛金庫に関するもの（節約時計に関するものＧ０７Ｆ１７／０００７）｝
G07F17/12	錠のかかる容器を含むもの，例．洗濯衣類の引受けに関するもの
G07F17/13	
G07F17/14	扉の締付けに関するもの（安全保管のための容器に関するものＧ０７Ｆ１７／１２）；廻り木戸に関するもの
G07F17/145	｛回転扉または廻り木戸に関するもの｝
G07F17/16	広告，通知，絵画またはこれと同様のものの展示装置に関するもの
G07F17/163	｛フィルム映写装置に関するもの｝
G07F17/166	｛カレンダーに関するもの｝
G07F17/18	身体の洗じょうまたは乾燥に関するもの
G07F17/20	物品，例．衣類，車，の洗じょうまたは乾燥に関するもの
G07F17/22	長靴または短靴のクリーニングと磨きに関するもの
G07F17/24	パーキングメーターに関するもの（駐車時間を点検するための装置Ｇ０７Ｃ１／３０）
G07F17/242	｛トークン分配装置のあるもの｝
G07F17/244	｛車両を保持する手段のあるもの｝
G07F17/246	｛車両近接検出部のあるもの（隠れた塊状物を検出するもの，例．金属検知器，Ｇ０１Ｖ，例．Ｇ０１Ｖ３／００；近接スイッチそれ自体Ｈ０３Ｋ１７／００；交通管制システムＧ０８Ｇ１／００）｝
G07F17/248	｛ハウジングの建設（コイン解放装置のケーシングＧ０７Ｆ９／１０）｝
G07F17/26	印刷，スタンプ，署名，タイプまたはテレ印刷装置に関するもの（チケット印刷機またはこれと同様の装置Ｇ０７Ｆ１７／４２）
G07F17/263	｛装置の重量測定に関するもの（人の体重測定装置Ｇ０７Ｆ１７／０４５）｝
G07F17/266	
G07F17/28	ラジオ器具に関するもの（テレビジョン予約方式に関するものＨ０４Ｎ７／１６）
G07F17/30	楽器に関するもの（録音または録音再生機Ｇ１１Ｂ）
G07F17/305	｛レコードプレーヤーに関するもの｝
