H05B31/0069	｛容器；容器の閉鎖｝
H05B31/0072	｛アークランプの反射鏡｝
H05B31/0075	｛白熱マントル｝
H05B31/0078	｛始動または消灯するための装置｝
H05B31/0081	｛アークランプの制御｝
H05B31/0084	｛あぶみ金物またはレバーを備えたもの｝
H05B31/0087	｛ねじまたはチェーンを備えたもの｝
H05B31/009	｛締付け装置を備えたもの｝
H05B31/0093	｛ねじ山付きロッドを備えたもの｝
H05B31/0096	｛水圧または空気圧手段を有するもの｝
H05B31/02	細部
H05B31/04	外枠
H05B31/06	電極
H05B31/065	｛フレームアークランプ用のもの｝
H05B31/08	炭素電極
H05B31/10	有心炭素電極
H05B31/12	ベック効果電極
H05B31/14	金属電極
H05B31/16	特に電極製造に用いられる装置または製法
H05B31/18	電極の取り付け；電極給送装置
H05B31/20	電極給送用の機械的装置｛（アークランプを制御するためのものＨ０５Ｂ３１／００８１）｝
H05B31/22	電極給送用の電気的装置｛（電磁石を使用するものＨ０５Ｂ３１／００６）｝
H05B31/24	冷却装置
H05B31/26	ガス吹きつけ装置によりアーク放電の型に影響を与えるもの
H05B31/28	磁気的手段によりアーク放電の型に影響を与えるもの｛（電磁石を使用するものＨ０５Ｂ３１／００６）｝
H05B31/30	起動；点灯｛（それらのための装置Ｈ０５Ｂ３１／００７８）｝
H05B31/305	｛点灯装置｝
H05B31/32	スイッチオフ
H05B31/34	電極の消耗指示
H05B31/36	整列した２電極をもっているもの｛（開放状態の電極Ｈ０５Ｂ３１／０００６）｝
H05B31/38	特に交流用に適したもの
H05B31/40	交叉状に２電極をもっているもの｛（開放状態の電極Ｈ０５Ｂ３１／０００９）｝
H05B31/42	特に交流用に適したもの
H05B31/44	並列に２電極をもっているもの｛（開放状態の電極Ｈ０５Ｂ３１／０００９）｝
H05B31/46	特に交流用に適したもの
H05B31/48	２以上の電極をもっているもの｛（開放状態の電極Ｈ０５Ｂ３１／００１２）｝
H05B31/50	特に交流用に適したもの
H05B31/52	位相の異なる電源から給電される電極
H05B33/00	エレクトロルミネッセンス光源
H05B33/02	細部
H05B33/04	封止装置，｛例．湿度に対して｝
H05B33/06	電極端子
H05B33/10	エレクトロルミネッセンス光源の製造に特に適用する装置または方法
H05B33/12	実質的に２次元放射面をもつ光源
H05B33/14	エレクトロルミネッセンス材料の配置あるいは化学的または物理的組成によって特徴づけられたもの，｛またはエレクトロルミネッセンス材料の光源内または光源上への同時の付加によって特徴づけられたもの｝<br><br><u>注</u><br><br>このグループの分類を付与する際には，エレクトロルミネッセンス材料の化学的構成についてはＣ０９Ｋ１１／００の適切なサブグループも付与される。
H05B33/145	｛エレクトロルミネッセンス材料の配置｝
H05B33/18	活性化不純物の性質または密度によって特徴づけられたもの
