A01G25/00	庭園，圃場，運動場または類似のものの灌水（液体肥料用の特殊な装置または適合Ａ０１Ｃ２３／００；ノズルまたは吐出口，噴霧装置Ｂ０５Ｂ）
A01G25/003	
A01G25/006	
A01G25/02	地上に設けられた，穴をあけた管系または分配部材を備えた管系を用いた灌水装置，例．滴下灌漑装置
A01G25/023	｛滴下灌漑のための分配部材，例．滴下具｝
A01G25/026	｛ホースまたは管に滴下する部材のための装置または方法｝
A01G25/06	地中に設けられた穴をあけた管系の使用による灌水装置
A01G25/09	車輪またはその類似物上の可動設備を使用する灌水装置
A01G25/092	｛枢動中心の周りに可動であるもの｝
A01G25/095	｛巻揚機駆動のもの（Ａ０１Ｇ２５／０９７が優先）｝
A01G25/097	｛給水管を横に動かす手段をもつ給水管に沿って案内または推進されるもの｝
A01G25/14	手で灌水する装置，例．如露
A01G25/145	｛ポンプをもつもの｝
A01G25/16	散水の制御
A01G25/162	｛順次操作｝
A01G25/165	｛周期操作，時間的調節システム，時間的調節弁，衝動操作｝
A01G25/167	｛土壌自体のまたは土壌シミュレーション装置のまたは大気の湿度による制御；土壌湿度センサー｝
A01G27/00	自動灌水装置，例．植木鉢用
A01G27/001	｛間欠灌水手段をもつもの｝
A01G27/003	｛自動灌水装置の制御｝
A01G27/005	｛導管を通して植木鉢に接続された貯留槽｝
A01G27/006	｛植木鉢から分離され，発根培地中に直接分配する貯留槽｝
A01G27/008	｛構成部材，例．分配部材，液位指示器｝
A01G27/02	貯水槽があり，その主要部が栽培容器の周囲またはすぐそばに位置するもの（Ａ０１Ｇ２７／０６が優先）
A01G27/04	毛細管現象を起こす芯体または同様のものを用いたもの
A01G27/06	貯水槽があり，その主要部が栽培容器の周囲またはすぐそばに位置するもの
A01G29/00	根部への給肥装置；根の中への注入
A01G31/00	土なし栽培，例．水耕栽培（そのための生長基質Ａ０１Ｇ２４／００；海草の栽培Ａ０１Ｇ３３／００）
A01G31/008	
A01G31/011	
A01G31/02	そのための特別な装置（自動灌水装置Ａ０１Ｇ２７／００）
A01G31/021	
A01G31/022	
A01G31/023	
A01G31/0231	
A01G31/0232	
A01G31/0233	
A01G31/024	
A01G31/025	
A01G31/04	運搬装置を使用する上の水耕栽培
A01G31/042	｛ベルトまたは類似のものの上を移送される，または鎖で運搬される容器をもつもの｝
A01G31/045	｛レールに沿って案内される容器をもつもの｝
A01G31/047	｛回転ドラムまたは垂直軸の周りに回転するもの，例．回転式コンベア，の内側の容器をもつもの｝
A01G31/06	棚上または積み重ねた容器を使用する水耕栽培
A01G31/065	
A01G33/00	海草｛または藻類｝の栽培
