B62D15/025	｛能動型操向補助装置，例．環境評価の後，操向システムに能動的に影響を及ぼすことにより運転者を支援するもの（Ｂ６２Ｄ１／２８が優先；駐車補助装置Ｂ６２Ｄ１５／０２７）｝
B62D15/0255	｛車線の自動変更，例．他の車両を追い越すためのもの｝
B62D15/026	｛自動距離制御装置と組み合わされるもの，すなわち電子式トウバー｝
B62D15/0265	｛操向による自動障害物回避｝
B62D15/027	｛駐車補助装置，例．指示手段｝
B62D15/0275	｛現在のステアリング角に基づく車両経路を，画像処理していない画像上に重ねることにるもの｝
B62D15/028	｛運転者に指令を与えることによる誘導駐車，例．音響的なものまたは光学的なもの｝
B62D15/0285	｛自動的に行われる駐車｝
B62D15/029	｛ステアリングシステムに影響を与えずに運転者に警告する装置または動作を促す装置を用いる走行補助手段（駐車補助装置Ｂ６２Ｄ１５／０２７，陸上車両の軌跡の判定または計算Ｇ０５Ｄ１／０２１，画像処理Ｇ０６Ｔ）｝
B62D15/0295	｛現在のステアリング角に基づく車両の軌跡を，画像処理していない画像上に重ねることにるもの｝
B62D17/00	キャンバー，キャスターまたはトーイン調整用の装置
B62D19/00	ラディアスロッド，すなわち間隔部材
B62D21/00	下部構造，すなわち．車両ボデーを取り付ける車台フレーム（フレームと車両ボデーとが結合されたものＢ６２Ｄ２３／００；｛その材料に特徴付のあるものＢ６２Ｄ２９／００｝）
B62D21/02	縦または横方向に配置されたフレーム部材からなるもの
B62D21/03	横部材がボデー支持体となっているもの
B62D21/04	縦方向部材が一つのもの
B62D21/05	ヒッチ型フレーム，すなわち．少なくとも２つの縦方向フレーム部材が，より小さい横寸法を有する別の縦方向フレーム部材により連結されて形成されたもの
B62D21/06	Ｘ型またはフォーク型構造のもの，すなわち．フレームを平面で見てＸ型またはフォーク型部材を有するもの
B62D21/07	広幅ヒップ型フレーム，すなわち．広幅箱型中間部がそこから前後両方向に延びる狭い部分を有するもの
B62D21/08	交叉部材を持つ構築物
B62D21/09	荷重支持面の取付け装置
B62D21/10	主部材が板状のもの
B62D21/11	懸架のための弾性装置を有するもの｛，例．車輪またはエンジンの；エンジンまたは懸架装置を取り付けるためのサブフレーム｝<br><br><u>注</u><br><br>このグループはサスペンションに主として関連する主題事項を含まず，サブクラスＢ６０Ｇに含まれる枠構造の名称上の列挙を伴うのみである。
B62D21/12	容易に分離できる部品で組み立てられたもの
B62D21/14	長さまたは幅を調整できるもの
B62D21/15	衝撃吸収装置を有するもの，例．別の物体との衝突によりその形状または寸法を永久的または一時的に変化するように設計されたフレーム（バンパーＢ６０Ｒ１９／０２；緩衝装置一般Ｆ１６Ｆ）
B62D21/152	｛前部または後部フレーム｝
B62D21/155	｛サブフレームまたは下部ガード｝
B62D21/157	｛側面衝突のためのもの｝
B62D21/16	流体貯蔵室を有するもの
B62D21/17	流体または電気導通装置を形成するものまたは力または信号を伝達する他の装置を有するもの
B62D21/18	グループＢ６２Ｄ２１／０２からＢ６２Ｄ２１／１７に含まれないものであって車両型式により特徴づけられたもの
B62D21/183	｛スポーツ車両用に特に適合したもの，例．レース，デューンバギー，ゴーカート（管状の骨組みＢ６２Ｄ２３／００５）｝
B62D21/186	｛建設現場車両または多目的トラクター用のもの（軌道車両Ｂ６２Ｄ５５／１０；トラクター一般Ｂ６２Ｄ４９／００；建設現場車両一般Ｅ０２Ｆ；リフトトラックＢ６６Ｆ）｝
B62D21/20	トレーラ型，すなわち．動力を持たない車両に用いるように特に構成されたフレーム
B62D23/00	上部構造とフレームとが結合されたもの，すなわちモノコック構造のもの（｛衝撃吸収装置を持つものＢ６２Ｄ２１／１５；｝上部構造｛またはモノコック構造｝構成体｛または部品またはその細部部品｝Ｂ６２Ｄ２５／００；｛その材料によって特徴付けられたものＢ６２Ｄ２９／００｝）
B62D23/005	｛全胴体部に一体化された車台，例．網目組織，管，または類似のもの（Ｂ６２Ｄ３３／０４４が優先）｝
B62D24/00	車体と車両フレームとの結合（Ｂ６２Ｄ２３／００，Ｂ６２Ｄ３３／０７７が優先）<br><br><u>警告</u><br><br>グループＢ６２Ｄ２４／００およびサブグループは未完である。Ｂ６２Ｄの他のグループ参照｝
B62D24/02	車両フレームに対し相対的に動かないようにされ，かつ，振動吸収マウント，例．ゴムパッド
B62D24/04	車両フレームに対する相対的動きのため弾性のある支持装置上に取付けられた車体
B62D25/00	上部構造｛またはモノコック構造｝サブユニット；他には提供されていない部品またはその細部部品｛（衝撃吸収装置を有するものＢ６２Ｄ２１／１５；踏板，踏段，または上部構造の構成体として同様のものＢ６０Ｒ３／００）｝
B62D25/02	側板｛（Ｂ６２Ｄ３３／０４６が優先；荷物収容室の側面板Ｂ６２Ｄ３３／０２３）｝
B62D25/025	｛そのサイドシル｝
B62D25/04	戸柱；｛前面ガラス枠｝
