A47L13/286	つや出し材，例．ポリッシングペーパー，を収納する容器を有するもの
A47L13/29	動かしたり取りはずしたりできるつや出しまたは輝かせる布を有するもの
A47L13/294	うら返せるヘッドを有するもの，片側はつや出し材を配分するためにそして反対側は輝かせるために使用されるもの
A47L13/30	ワックスまたは油の分配装置を有するつや出しおよびワックスかけまたは油を塗る道具
A47L13/31	動かしたり取りはずしたりできるつや出しまたは輝かせる布を有するもの
A47L13/312	液体ワックスまたは油を供給するもの
A47L13/314	うら返せるヘッドを有するもの，片側はワックスまたは油を配分するためにそして反対側は輝かせるために使用されるもの
A47L13/316	液体ワックスまたは油を供給するもの
A47L13/32	加熱装置を有するワックス配分機
A47L13/34	炉床または金属製品のすりみがき具
A47L13/36	カーペット叩打具
A47L13/38	その他のちり払い具｛（粘着面を用いるものＡ４７Ｌ２５／００５）｝
A47L13/40	静電気の吸引力で作用する清掃具；清掃具を清掃する装置；磁力による清掃具
A47L13/41	磁力による清掃具
A47L13/42	細部
A47L13/44	道具のブラシまたは同様状のものにすりみがき布を取付けるもの
A47L13/46	握持装置，物をつまむ道具，またはそれらに類するものによって取手にすりみがきまたはつや出し布またはスポンジを取付けるもの
A47L13/48	保護装置，緩衝機または保護板のような保護装置
A47L13/50	補助道具（ブラシまたはその類似の清掃装置Ａ４６Ｂ１７／０６）
A47L13/502	雑きんまたはモップの攪拌機；その緩衝機
A47L13/51	清掃用具の収納，例．その容器
A47L13/512	道具を吊るための締め具
A47L13/52	ちり取り；パンくず受
A47L13/54	カーペット叩打用掛架具
A47L13/56	ワックスまたは油を供給する道具
A47L13/58	すりみがき用パッド，モップ，または類似のもの，バケツと組合わされているものの絞り機械
A47L13/59	取りはずせる絞り出し部材を有するもの
A47L13/60	絞り出し用ロールを有するもの
A47L13/62	ひざまずく為の支持具，特に車輪のついたもの（ひざに取付けられるひざまずくためのクッションＡ４１Ｄ１３／０６）
A47L15/00	瀬戸物または食卓用器具の洗浄またはすすぎ機械
A47L15/0002	｛洗浄プロセス，すなわち，機械が過程または操作手順によって特徴づけられる仕組みによって作動するもの｝
A47L15/0005	｛すすぎの過程，例．すすぎ前，すすぎの中間，すすぎの最後｝
A47L15/0007	｛洗浄の過程｝
A47L15/001	｛初期，中間のまたは部分的な排水の段階を含む，排水の過程｝
A47L15/0013	｛水の滴る過程を含む，乾燥の過程｝
A47L15/0015	｛他の処理の過程，例．蒸気または殺菌の過程｝
A47L15/0018	｛制御プロセス，すなわち，制御の目的または目標によって特徴づけられた機械の動作を制御するプロセス（水の軟化または水の軟化再生の制御のためのものＡ４７Ｌ１５／４２２９；水位の制御のためのものＡ４７Ｌ１５／４２４４；悪臭または臭気の制御のためのものＡ４７Ｌ１５／４２７６；水温の制御のためのものＡ４７Ｌ１５／４２８７；水圧の制御のためのものＡ４７Ｌ１５／４２８９；瀬戸物または食器用器具の状態の制御のためのものＡ４７Ｌ１５／４２９５；洗浄水の状態の制御のためのものＡ４７Ｌ１５／４２９７）｝
A47L15/0021	｛洗浄プロセス内での操作手順の調整，例．洗剤の性質に応じてまたは瀬戸物の状態に応じた操作手順の最適化または改良｝
A47L15/0023	｛注水（Ａ４７Ｌ１５／４２４４が優先）｝
A47L15/0026	｛すすぎの過程｝
A47L15/0028	｛洗浄の過程｝
A47L15/0031	｛放水の過程｝
A47L15/0034	｛水の滴る過程を含む，乾燥の過程｝
A47L15/0036	｛蒸気または殺菌の過程｝
A47L15/0039	｛フィルタの清掃の過程｝
A47L15/0042	｛可逆脱水素乾燥剤，例．吸着乾燥システムにおけるゼオライト，の放出過程｝
A47L15/0044	｛動作時間の短縮｝
A47L15/0047	｛エネルギーまたは水の消費量，例．エネルギーまたは水の節約によるもの｝
A47L15/0049	｛事故防止を含む，誤動作の検出または防止（フィルタの目詰まりを防止する装置Ａ４７Ｌ１５／４２０８；水の被害を防止する安全装置Ａ４７Ｌ１５／４２１）｝
A47L15/0052	｛騒音低減｝
A47L15/0055	｛使用済み製品の計量または表示，例．洗浄，すすぎ剤または塩の種類または量；製品濃度の測定または制御｝
A47L15/0057	｛機械部品の清掃，例．水垢または蛋白質のような付着物の管または槽からの除去｝
A47L15/006	｛機械の内部部品間で無線通信を用いるもの｝
A47L15/0063	｛食器洗い機の操作に遠隔監視または制御を用いるもの，例．ネットワークシステム｝
A47L15/0065	｛ガラスコップに特に適用されるもの｝
A47L15/0068	｛ブラシまたは類似のこすり用部品を有するもの｝
A47L15/0071	｛コップが運搬機上に配置されているもの｝
A47L15/0073	｛回転テーブル型のもの｝
A47L15/0076	｛非家庭用タイプのもの，例．酒場，ホテル，レストラン，食堂または病院における業務用食器洗い機（ガラスコップに特に適用されるものＡ４７Ｌ１５／００６５；引き出し式のものＡ４７Ｌ１５／００８４；流しに内蔵される食器洗い機Ａ４７Ｌ１５／００８６；小さな食器洗い機Ａ４７Ｌ１５／００８９；運搬機式食器洗い機Ａ４７Ｌ１５／２４；瀬戸物がブラシにより洗浄される機械Ａ４７Ｌ１５／３７）｝
A47L15/0078	｛複数の流体循環装置のあるもの，例．洗浄液とすすぎ液の循環路が分離したもの｝
A47L15/0081	｛垂直に滑動する閉じ扉のあるもの，例．フード式の食器洗い機｝
A47L15/0084	｛引き出し式のもの｝
A47L15/0086	｛流しに内蔵される食器洗い機｝
A47L15/0089	｛小さなサイズのもの，例．小さな台所，ＲＶ車用の携帯用小型食器洗い機（ガラスコップに特に適用されるものＡ４７Ｌ１５／００６５）｝
A47L15/0092	｛鍋，皿，ベーキングトレイ，料理網のような大きな物の洗浄に特に適用されるもの｝
A47L15/0094	｛研磨固体粒子を用いる清掃，例．微粒を含んだ液体を瀬戸物に吹き付けることによるもの｝
A47L15/0097	｛食器洗い機と他の家庭用機器との組み合わせ｝
A47L15/02	固定したかご形容器を含む洗浄室内で洗浄液の循環と攪拌を行なうもの｛（ガラスコップ用Ａ４７Ｌ１５／００６５）｝
A47L15/04	洗浄室の往復運動によるもの
A47L15/06	洗浄室のインペラーによるもの
A47L15/08	ポンプによって生じる圧力効果を応用するもの
A47L15/10	液体中に圧縮空気または他の気体を導入するもの
A47L15/12	煮沸効果によるもの
A47L15/13	音波または超音波を用いるもの
A47L15/14	洗浄室内の固定した瀬戸物用のかご形容器および噴射装置を有するもの｛（ガラスコップ用Ａ４７Ｌ１５／００６５）｝
A47L15/16	固着した噴射装置を有するもの
A47L15/18	可動の噴射装置を有するもの
A47L15/20	揺動噴射装置
