B41M5/42	中間層，｛裏塗り層｝又は被覆層｛（Ｂ４１Ｍ５／４０５が優先；多層熱転写システム一般Ｂ４１Ｍ５／３８２１４）｝  注¨明情報が，Ｂ４１Ｍ５／４２のサブグループの２つ以上によりカバーされる特徴の組合せにあるときは，個々の特徴を特定するサブグループに対応するインデキシングコードを使用しつつＢ４１Ｍ５／４２に分類する。
B41M5/423	｛非高分子化合物により特徴付けられるもの，例．ワックス｝
B41M5/426	｛無機化合物により特徴付けられるもの，例．金属，金属塩，金属錯体｝
B41M5/44	高分子化合物により特徴付けられるもの
B41M5/443	｛ケイ素含有重合体，例．シリコーン，シロキサン｝
B41M5/446	｛フッ素含有重合体｝
B41M5/46	光から熱へ変換する手段により特徴付けられるもの；熱または放射線をフィルタまたは吸収する手段または層により特徴付けられるもの
B41M5/465	｛赤外放射吸収材料，例．染料，金属，シリケート，カーボンブラック｝
B41M5/48	他の画像記録層または組成物と組み合わされるもの；サーモグラフィによる複写のための特別な原稿
B41M5/50	インク，染料または顔料の受容性を高めるために使用される塗膜に特徴のある記録シート，例．インクジェットまたは感熱染料転写記録のためのもの｛（印刷版を用いた有機プラスチックへの印刷Ｂ４１Ｍ１／３０；印刷版を用いた前処理紙への印刷Ｂ４１Ｍ１／３６）｝
B41M5/502	｛構造の詳細によって特徴付けられるもの，例．多層材料（熱染料転写供与シートおよび受容シートのための支持体，裏塗りまたは中間層Ｂ４１Ｍ５／４１，Ｂ４１Ｍ５／４２）｝
B41M5/504	｛裏塗り｝
B41M5/506	｛中間層｝
B41M5/508	｛支持体｝
B41M5/52	高分子の塗膜   注　｛このグループにおいて発明情報が，２つ以上のサブグループによりカバーされる特徴の組合せにあるときは，個々の特徴を特定するサブグループに対応するインデキシングコードを使用しつつＢ４１Ｍ５／５２に分類する。｝
B41M5/5209	｛放射線硬化により作成された塗膜，例．光重合性組成物を使用するもの｝
B41M5/5218	｛無機添加剤により特徴付けられるもの，例．顔料，粘土｝
B41M5/5227	｛有機低分子添加剤により特徴付けられるもの，例．ＵＶ吸収剤，可塑剤，界面活性剤｝
B41M5/5236	｛天然ゴム，たんぱく質，例．ゼラチン，または高分子炭水化物，例．セルロースの使用により特徴付けられるもの｝
B41M5/5245	｛カチオン性基またはアニオン性基を有する重合体の使用により特徴付けられるもの，例．媒染剤｝
