H02H7/265	｛進行波理論を使用するもの｝
H02H7/266	｛予備供給の切り替えを含むもの　（一般には　Ｈ０２Ｊ９／００）｝
H02H7/267	｛平行回線と電線のためのもの｝
H02H7/268	｛直流方式のためのもの｝
H02H7/28	メッシュ系統のためのもの
H02H7/30	時間差をつけた開放
H02H9/00	断路せずに過電流または過電圧を制限するための非常保護回路装置（特殊な機械または装置と保護装置との構造的結合は，機械または装置に関連するサブクラスを参照）
H02H9/001	｛電気量の変化の速度を制限するもの，例．オンまたはオフのソフトスイッチング（干渉を除去する電子スイッチの漸進的制御Ｈ０３Ｋ１７／１６）｝
H02H9/002	｛残留磁気にさらされる誘導性負荷，例．トランス，に切り替える突入電流を制限するもの｝
H02H9/004	｛プラグインユニットの通電挿入に関連するもの（中央処理装置との通信を含むものＧ０６Ｆ１３／４０）｝
H02H9/005	｛望まれない過渡的状態を避けるもの｝
H02H9/007	｛振動，例．フェノレゾナンスまたは進行波，を避けるものまたは減衰させるもの｝
H02H9/008	｛本質安全回路｝
H02H9/02	過電流に応答するもの｛（電圧レギュレーターの電流制限Ｇ０５Ｆ１／５７３；制限後の開放Ｈ０２Ｈ３／０２５）｝
H02H9/021	｛可飽和リアクトルを使用した電流制限（Ｈ０２Ｈ９／０２３が優先）｝
H02H9/023	｛超電導素子を使用した電流制限｝
H02H9/025	｛電界効果トランジスタを使用した電流制限｝
H02H9/026	｛ＰＴＣ抵抗器，すなわち，大きな正温度係数を持った抵抗器，を使用した電流制限｝
H02H9/028	｛直列共振回路の離調による電流制限（Ｈ０２Ｈ９／０２１とＨ０２Ｈ９／０２３が優先）｝
H02H9/04	過電圧に応答するもの（避雷器Ｈ０１Ｃ７／１２，Ｈ０１Ｃ８／０４，Ｈ０１Ｇ９／１８，Ｈ０１Ｔ）
H02H9/041	｛短絡装置を使用するもの｝
H02H9/042	｛吸収した電力を制限する，または破損した過電圧保護装置を示す手段を含むもの｝
H02H9/043	｛短絡により，過電圧保護装置を保護するもの｝
H02H9/044	｛他のところに分類されない物理的なレイアウト，材料（バリスタＨ０１Ｃ７／１２；オブシンスキー装置Ｈ０１Ｌ４５／００；スパークギャップＨ０１Ｔ）｝
H02H9/045	｛他のところに分類されない特殊用途に適合させたもの｝
H02H9/046	｛集積回路の端子に現れる過電圧に応答するもの（特定の構造的統合デザインによる保護Ｈ０１Ｌ２７／０２４８）｝
H02H9/047	｛フリーホイリーング回路｝
H02H9/048	｛反ラッチングまたはクエンチング装置，すなわち，保護動作の後に保護装置を正常な状態に戻すもの｝
H02H9/049	｛保護装置の数を制限する回路装置｝
H02H9/06	火花間隙避雷器を用いるもの
H02H9/08	地絡故障電流の制限または抑制，例．ペテルゼンコイル
H02H11/00	電気的異常状態が生じるおそれのある場合に通電開始を防止するための非常保護回路装置
H02H11/001	｛不正確なまたは切られた接地接続の場合　（接地線の破損に応じて開放するもの　Ｈ０２Ｈ５／１０５）｝
H02H11/002	｛逆極性または逆接続の場合；　正しい接続を得るためのスイッチングを用いるもの｝
H02H11/003	｛供給ラインの一本の保護素子として電界効果トランジスタを使用するもの｝
H02H11/004	｛不正確な位相順序の場合；　正確な位相順序を得るためのスイッチングを用いるもの　（モーターを誤った方向への回転から保護するもの　Ｈ０２Ｈ７／０９７）｝
H02H11/005	｛低すぎる絶縁抵抗，　高すぎる負荷，　短絡の場合；　地絡｝
H02H11/006	｛高すぎるまたは低すぎる電圧の場合｝
H02H11/007	｛保護された装置を供給電圧に適合させるための自動スイッチングを含むもの｝
H02H11/008	｛変電所の危険なスイッチング動作を防止するもの　（シャルトフェフレシュツ）｝
H02H99/00	
