C04B14/00	モルタル，コンクリートまたは人造石のための充填材，例．顔料，としての無機物の使用；モルタル，コンクリートまたは人造石におけるそれらの充填性を向上するために特に適合した無機物の処理（物質の膨張または解繊Ｃ０４Ｂ２０／００）<br><br><u>注</u><br><br>粒子状以外の明確な形状の充填剤は補強要素とみなされ，よってＥ０４Ｃ５／００に分類される。しかし，それらがその組成のみに特徴を持つならＣ０４Ｂのみに分類される。
C04B14/005	｛粒子状または繊維状以外の形状を持った無機充填剤（カーボンナノチューブＣ０４Ｂ１４／０２６）｝
C04B14/02	粒状材料，｛例．マイクロバルーン｝
C04B14/022	｛炭素｝
C04B14/024	｛黒鉛｝
C04B14/026	｛特定形状のもの，例．ナノューブ｝
C04B14/028	｛炭素エアロゲル｝
C04B14/04	けい素に富んだ材料；けい酸塩
C04B14/041	｛粘土以外のアルミニウムけい酸塩｝
C04B14/042	｛マグネシウムけい酸塩，例．滑石，セピオライト｝
C04B14/043	｛アルカリ土類金属けい酸塩，例．けい灰石｝
C04B14/044	｛多けい酸塩，例．ジオポリマ｝
C04B14/045	｛アルカリ金属含有けい酸塩，例．ペタライト（水ガラスＣ０４Ｂ１２／０４）｝
C04B14/046	｛ジルコン｝
C04B14/047	｛ゼオライト｝
C04B14/048	｛花崗岩｝
C04B14/06	石英；砂
C04B14/062	｛マイクロシリカ，例．コロイドシリカ（マイクロシリカのスラリーまたは懸濁物の調製Ｃ０４Ｂ１８／１４８）｝
C04B14/064	｛シリカエアロゲル｝
C04B14/066	｛沈殿したまたは発熱性のシリカ｝
C04B14/068	｛特定の天然砂，例．海，ビーチ，砂丘，または砂漠の砂｝
C04B14/08	けいそう土
C04B14/10	粘土　｛（セピオライトＣ０４Ｂ１４／０４２；シャモツトＣ０４Ｂ１８／０２５）｝
C04B14/102	｛アタパルジヤイト粘土｝
C04B14/104	｛ベントナイト，例．モンモリロナイト｝
C04B14/106	｛カオリン｝
C04B14/108	｛頁岩，スレート（炭鉱頁岩Ｃ０４Ｂ１８／１２５）｝
C04B14/12	膨張した粘土
C04B14/14	火山起原の鉱物　｛（花崗岩Ｃ０４Ｂ１４／０４８）｝
C04B14/16	多孔質のもの，例．軽石
C04B14/18	パーライト
C04B14/185	｛膨張されたもの｝
C04B14/20	雲母；ひる石　｛（機械的開裂Ｂ２８Ｄ）｝
C04B14/202	｛バーミキュライト｝
C04B14/204	｛膨張されたもの｝
C04B14/206	｛陽イオン交換で変性された雲母またはバーミキュライト；化学的にはげ落とされたバーミキュライト｝
C04B14/208	｛薄片に裂かれた雲母またはバーミキュライト小板｝
C04B14/22	ガラス；｛失透ガラス｝
C04B14/24	多孔質のもの，例．発泡ガラス
C04B14/26	炭酸塩
C04B14/28	カルシウムの
C04B14/285	｛大理石｝
C04B14/30	シリカ以外の酸化物｛フェライトＣ０４Ｂ１４／３６３｝
C04B14/301	｛多孔質のまたは中空の｝
C04B14/302	｛エアロゲル｝
C04B14/303	｛アルミナ｝
C04B14/304	｛マグネシア｝
C04B14/305	｛酸化チタン，例．チタン酸塩｝
C04B14/306	｛酸化ジルコニウム（ジルコンＣ０４Ｂ１４／０４６）｝
C04B14/307	｛酸化クロム｝
C04B14/308	｛酸化鉄｝
C04B14/309	｛酸化銅またはその固溶体｝
C04B14/32	炭化物；窒化物；ほう化物；｛けい化物｝
C04B14/321	｛ほう化物｝
C04B14/322	｛炭化物｝
C04B14/323	｛炭化ほう素｝
C04B14/324	｛炭化けい素｝
C04B14/325	｛窒化物｝
C04B14/326	｛窒化アルミニウム｝
C04B14/327	｛窒化ほう素｝
C04B14/328	｛窒化けい素｝
C04B14/34	金属，｛例．フェロシリコン｝
C04B14/36	グループに属さない無機物｛Ｃ０４Ｂ１４／０２２および｝Ｃ０４Ｂ１４／０４〜Ｃ０４Ｂ１４／３４
C04B14/361	｛土，例．ラテライト｝
C04B14/363	｛フェライト｝
C04B14/365	｛石こう（合成石こうＣ０４Ｂ１８／０４４５，Ｃ０４Ｂ１８／０６４）｝
C04B14/366	｛りん酸塩，例．りん灰石｝　
C04B14/368	｛重晶石｝
C04B14/38	繊維状材料；ウィスカー
C04B14/383	｛ウィスカー｝
C04B14/386	｛炭素（カーボンナノチューブＣ０４Ｂ１４／０２６）｝
C04B14/40	石綿
C04B14/42	ガラス
C04B14/44	アルカリ耐性を増加させるための処理　｛アルカリ耐性ガラス繊維の組成物Ｃ０３Ｃ１３／００；ガラス繊維の被覆Ｃ０３Ｃ２５／１０｝
C04B14/46	岩綿；｛セラミックまたはけい酸塩繊維（Ｃ０４Ｂ１４／４０，Ｃ０４Ｂ１４／４２が優先）｝
C04B14/4606	｛有機または有機鉱物性前駆体として添加されるもの｝
C04B14/4612	｛ホウ酸アルミニウム｝
C04B14/4618	｛酸化物｝
C04B14/4625	｛アルミナ｝
C04B14/4631	｛シリカ｝
C04B14/4637	｛ジルコニアまたはジルコン｝
C04B14/4643	｛ジルコン以外のけい酸塩｝
C04B14/465	｛カルシウムけい酸塩，例．ウォラストナイト｝
C04B14/4656	｛アルミニウムけい酸塩，例．粘土｝
C04B14/4662	｛多けい酸塩，例．ジオポリマ｝
C04B14/4668	｛火山起源のもの｝
C04B14/4675	｛スラグからのもの｝
C04B14/4681	｛チタン酸塩｝
