B05B1/00	弁，加熱手段等の補助装置を有するまたはこれらを有しないノズル，スプレーヘッドまたは他の排出口（Ｂ０５Ｂ３／００，Ｂ０５Ｂ５／００，Ｂ０５Ｂ７／００が優先；｛水または気体の噴流を有する浴槽のためのノズルＡ６１Ｈ３３／００，例．Ａ６１Ｈ３３／６０６３，Ａ６１Ｈ３３／６０２１，Ａ６１Ｈ３３／０２６またはＡ６１Ｈ３３／０２７；消火に特に適合したノズルＡ６２Ｃ３１／０２；高速研削性流体噴射を発生させるためのノズルＢ２４Ｃ５／０４｝；インクジェットプリンティング機構のためのノズルＢ４１Ｊ２／１３５；｛容器を充填するためのノズルＢ６５Ｂ３９／００｝；液体分配ノズル，例．車両サービスステーションにおけるもの，Ｂ６７Ｄ７／４２）<br><br><u>警告</u><br><br>グループＢ０５Ｂ１／００はグループＢ０５Ｂ１／００２への再分類の影響を受ける。<br>グループＢ０５Ｂ１／００およびＢ０５Ｂ１／００２はコンプリートサーチの完遂のために考慮されるべきである。
B05B3/001	｛加熱または冷却手段の導入，例．噴霧される材料についてのもの｝
B05B3/002	｛流体クッションにより支持される移動部材からなるもの｝
B05B3/003	｛ブレーキ手段，例．本質的に一定の回転速度を提供するために設計された摩擦リング，を有するもの｝
B05B3/005	｛粘性消散を用いるもの，例．オイルで満たされたチャンバ内をロータが移動可能なもの｝
B05B3/006	｛誘導電流を用いるもの；磁力手段を用いるもの｝
B05B3/007	｛摩擦クラッチ手段を有するもの｝
B05B3/008	｛ぐらつきまたは蛇行する要素からなるもの，すなわち，噴霧の間に軸の周りに円錐を描いて旋回するもの（B05B 3/0463が優先）｝
B05B3/02	旋回機構を有するもの
B05B3/0202	
B05B3/0204	
B05B3/021	｛ノズルの水平角度位置に対する噴射を調整するための手段を有するもの，例．ノズルの仰角を変更することによりまたはノズルの流量を変更することにより非円形領域を噴霧するためのもの（Ｂ０５Ｂ３／０４５４が優先）｝
B05B3/025	｛旋回継手｝
B05B3/026	｛一方の継手要素から他のものへの軸方向の流体通路｝
B05B3/027	｛放射状の流体流路を有するもの｝
B05B3/028	｛旋回が環状のもの（Ｂ０５Ｂ３／０４４５およびＢ０５Ｂ３／０６６が優先）｝
B05B3/04	放出される液体または他の流動性材料によって駆動されるもの，例．液体が排出口を通過する前で原動機を作動するもの｛（Ｂ０５Ｂ３／０２３が優先）｝
B05B3/0412	
B05B3/0417	
B05B3/0419	
B05B3/0421	
B05B3/0423	
B05B3/0425	
B05B3/0426	
B05B3/0429	
B05B3/043	
B05B3/0432	
B05B3/0435	
B05B3/0438	
B05B3/0444	
B05B3/0446	
B05B3/0453	
B05B3/0455	
B05B3/0461	
B05B3/049	｛流動流体中に浸漬されてもロータの旋回を防ぐための機械的手段からなるもの｝
B05B3/0495	｛液体または他の流体材料が複数の原動機，例．複数のタービン，を駆動するために放出されるもの｝
B05B3/06	噴射流の反動によるもの，｛すなわち，噴射流の接線方向の構成要素による回転トルクを生ずるもの｝
B05B3/063	｛噴射流の接線方向の構成要素を作成するための部材，例．偏向器，を用いるもの｝
B05B3/066	｛排出口要素の移動が２つの移動の組み合わせであり，その移動の一方が旋回であるもの｝
B05B3/08	固定流出口または偏向機構と連動するもの
B05B3/082	｛噴霧が遠心力により行われるもの｝
B05B3/085	｛扇形偏向器と連動するもの｝
B05B3/087	｛この配置からなる噴霧ガン｝
B05B3/10	実質的に旋回部材の全周囲に放出するもの，｛すなわち，噴霧が遠心力により行われるもの（Ｂ０５Ｂ３／０８２が優先）｝
B05B3/1007	｛旋回部材に特徴のあるもの（Ｂ０５Ｂ３／１０５が優先）｝
B05B3/1014	｛噴霧エッジを有するもの，例．カップまたはベルの類似物｝
B05B3/1021	｛その周面で個別の流路を有するもの｝
B05B3/1028	｛流路が挿入物からなるもの｝
B05B3/1035	｛駆動手段；そのための部品，例．タービン，シャフト，軸受｝
B05B3/1042	｛旋回噴霧部材をその駆動軸に結合，例．可逆的に，するための手段｝
B05B3/105	｛そのための送風または通気装置｝
B05B3/1057	｛旋回機構上の異なるまたは同一の液体または他の流体材料を，選択的にまたは非選択的に放出するための，気体および清掃流体の排出口以外の，少なくとも２つの排出口｝
B05B3/1064	｛噴霧される液体または他の流動性材料が中空の回転軸を介して旋回部材に軸方向に供給されるもの｝
B05B3/1071	｛異なる速度で旋回する２つの旋回部材を有するもの｝
B05B3/1078	｛旋回部材が反対方向に旋回するもの｝
B05B3/1085	｛旋回速度を検知または制御するための手段を有するもの｝
B05B3/1092	｛成形ガスを供給するための手段｝
B05B3/12	放出される液体または他の流動性材料に無関係な手段によって軸のまわりを回転するスプレーブームまたはこれと類似のものを有するもの
B05B3/14	振動要素を有するもの；間けつ操作をするもの
B05B3/16	放出される液体または他の流動性材料により駆動または制御されるもの，例．液体が排出口を通過する前に原動機を作動するもの｛（Ｂ０５Ｂ３／０４３１，Ｂ０５Ｂ３／０４６８，Ｂ０５Ｂ３／０４７２が優先）｝
