F16L11/00	ホース，すなわち可とう管
F16L11/005	｛繊維，合成樹脂または金属以外の材料から全体または一部が構成されるもの｝
F16L11/02	繊維またはより糸で作られたもの，例．｛含浸されたまたはされていない織物で作られたもの，または不透水層をもつもの，例．消防ホース｝
F16L11/04	ゴムまたは可撓性のプラスチックで作られたもの
F16L11/042	｛薄板を曲げそして縁を接続して形成されたもの（絶縁材保護のためのカバーＦ１６Ｌ５９／１０；剛性管Ｆ１６Ｌ９／１７）｝
F16L11/045	｛補強材なしで４つ以上の層をもつもの｝
F16L2011/047	｛拡散バリア層をもつもの｝
F16L11/06	均質壁をもつもの（Ｆ１６Ｌ１１／１１が優先）
F16L11/08	壁の中に埋設した補強材をもつもの（Ｆ１６Ｌ１１／１１が優先）
F16L11/081	｛らせん状に巻かれたコードまたはワイヤの１つ以上の層からなるもの（網組層との組み合わせＦ１６Ｌ１１／０８８）｝
F16L11/082	｛２層｝
F16L11/083	｛３層以上｝
F16L11/085	｛１つ以上の網組層からなるもの（らせん状に巻かれた芯またはワイヤの層との組み合わせＦ１６Ｆ１１／０８８）｝
F16L11/086	｛２層｝
F16L11/087	｛３層以上｝
F16L11/088	｛らせん状に巻かれたコードまたはワイヤの１つ以上の層と１つ以上の網組層との組み合わせからなるもの｝
F16L11/10	壁の中に埋設されない補強材をもつもの（Ｆ１６Ｌ１１／１１が優先）
F16L11/11	波形の壁をもつもの｛（Ｆ１６Ｌ１１／２４が優先）｝
F16L11/111	｛均質壁をもつもの｝
F16L11/112	壁内に埋蔵した補強材をもつもの
F16L11/115	壁内に埋蔵されない補強材をもつもの
F16L11/118	特定の目的のための装置をもつもの，例．電気伝導性をもつもの
F16L11/1185	｛電気伝導性をもつもの｝
F16L11/12	特定の目的のための装置をもつもの，例．特別な外形としたもの，保護層をもつもの，加熱されるもの，電気伝導性をもつもの（Ｆ１６Ｌ１１／１１が優先）
F16L11/121	｛断面を特別な外形としたもの｝
F16L11/122	｛一体化した固定手段，例．フック，を備えたホース｝
F16L11/124	｛ホース用の識別マーク｝
F16L11/125	｛不燃性ホースまたは耐熱ホース｝
F16L11/127	電気伝導性をもつもの
F16L11/133	浮揚性をもつもの
F16L11/14	固い材料で作られたもの，例．金属または固いプラスチック
F16L11/15	波形のもの（Ｆ１６Ｌ１１／１６が優先）
F16L11/16	特定の形状のストリップまたはバンドを巻いたもの
F16L11/18	関節式ホース，例．一連のリングからなるもの
F16L11/20	二重ホース，｛すなわち２つの同軸ホース｝
F16L11/22	多水路ホース
F16L11/24	ストリップまたはバンドを巻いたもの（Ｆ１６Ｌ１１／１６が優先）
F16L11/26	騒音吸収材でできたものまたは騒音吸収構造を持つもの
F16L13/00	切り離しできない管継ぎ手，例．はんだ，接着剤，またはかしめ継ぎ手（プラスチックの剛性管用継ぎ手Ｆ１６Ｌ４７／００；｛管を壁または他の管に連結する分離不能継手であり，連結される管の軸が当該壁に対してまたは当該他の管の軸に対して直交するものＦ１６Ｌ４１／０８２｝）
F16L13/002	｛矩形断面をもつ管用｝
F16L13/004	｛縮み管継ぎ手｝
F16L13/007	異なる材質の管を接合するために特に適合するもの｛（金属管とプラスチック管との間の継ぎ手Ｆ１６Ｌ４７／２４）｝
F16L13/013	そのための付属品
F16L13/02	溶接継ぎ手
F16L13/0209	｛雄−雌溶接継手（Ｆ１６Ｌ１３／０２４５およびＦ１６Ｌ１３／０２５４が優先）｝
F16L13/0218	｛内輪または外輪を有するもの（Ｆ１６Ｌ１３／０２４５およびＦ１６Ｌ１３／０２５４が優先）｝
F16L13/0227	｛内輪を有するもの｝
F16L13/0236	｛外輪を有するもの｝
F16L13/0245	｛スリーブまたは差し込み口における穴が溶接で満たされたもの｝
F16L13/0254	｛管が内面または外面のコーティングを有するもの｝
F16L13/0263	｛内面のコーティングを有するもの｝
F16L13/0272	｛外面のコーティングを有するもの｝
F16L13/0281	｛冷間溶接（加熱なしの非電気的接合Ｂ２３Ｋ２０／００）｝
F16L13/029	｛コンクリート管用｝
F16L13/04	超過応力を防ぐ装置をもつもの
F16L13/06	取りはずし可能部材による溶接部の引張逃げをもつもの，例．フランジにおける分割引張り環，ボルト
F16L13/08	はんだづけ継ぎ手｛（剛性部材への金属ホースの連結に特に適合したものＦ１６Ｌ３３／２６）｝
F16L13/10	接着剤または張り合わせ継ぎ手
F16L13/103	｛接着継手（ホース用Ｆ１６Ｌ３３／３４）｝
F16L13/106	｛工具｝
F16L13/11	固定する前に継ぎ手の部分間の空隙をうめる材料を用いるもの
F16L13/113	｛コンクリート管用｝
F16L13/116	｛ソケット管用｝
F16L13/12	鉛，充填パッキングまたは類似のもので作られたシールをもつもの
F16L13/122	｛雄−雌連結用（Ｆ１６Ｌ１３／１２４およびＦ１６Ｌ１３／１２６が優先）｝
F16L13/124	｛コンクリート管用｝
F16L13/126	｛取り付け部｝
F16L13/128	｛工具｝
F16L13/14	管の材料を塑性的に変形することにより作られるもの，例．つば出し，圧延によるもの
F16L13/141	｛外側からのクリンプまたは圧延によるもの｝
F16L13/142	｛クリンプまたは圧延の前に雌部分の中に密封要素が挿入されるもの｝
F16L13/143	｛クリンプまたは圧延の前に雌部分の周囲に密封要素が配置されるもの｝
F16L2013/145	｛そのために特に適合された工具｝
F16L13/146	｛軸方向に可動なスリーブによるもの｝
F16L13/147	｛半径方向に拡張する内側部材によるもの（Ｆ１６Ｌ１３／１６８およびＥ２１Ｂ４３／１０３が優先）｝
F16L13/148	｛正規の変形まで意図された漏出を実現するよう特に設計されたもの｝
F16L13/16	相互に協働するカラーをもつ重なった端からなる管継ぎ手
F16L13/161	｛管またはカラーがクリンプまたは圧延により変形可能であるもの｝
F16L13/163	｛１つのカラーが他のものの上に曲げられるもの｝
F16L13/165	｛管が軸方向に稼働なスリーブにより変形可能であるもの｝
F16L13/166	｛半径方向に拡張する内側部材により変形されたもの（Ｆ１６Ｌ１３／１６８が優先）｝
F16L13/168	｛ねじ管用（Ｅ２１Ｂ４３／１０３が優先）｝
F16L15/00	ねじ継手｛（ホース上またはその中に直接にねじこまれた部品をもつホースの連結Ｆ１６Ｌ３３／２４；壁に管を連結するものＦ１６Ｌ４１／００）｝；そのような継ぎ手のためのねじ山の形状
F16L15/001	｛円錐状のねじ山をもつもの｝
F16L15/002	｛２以上のねじの部分をもつもの｝
F16L15/003	｛密封環をもつもの｝
F16L15/004	｛少なくとも１つの塑性的に変形可能な密封面を有する軸方向の密封をともなうもの（密封環Ｆ１６Ｌ１５／００３）｝
F16L15/005	｛ねじ山形状を有するように少なくとも先端を変形した薄肉パイプ用｝
F16L15/006	｛平行ねじをもつもの｝
F16L15/007	｛２以上のねじの部分をもつもの｝
F16L15/008	｛密封環をもつもの｝
F16L15/009	｛少なくとも１つの塑性的に変形可能な密封面を有する軸方向の密封をともなうもの（密封環Ｆ１６Ｌ１５／００８）｝
F16L15/02	長いねじ山部分により大体において縦方向の調節を許容するもの
F16L15/04	付加密封装置をもつもの
F16L15/06	ねじ山の形に特徴があるもの
F16L15/08	補足的要素をもつもの（Ｆ１６Ｌ１５／０４，｛Ｆ１６Ｌ４１／００およびＦ１６Ｌ４３／０２｝が優先）
F16L17/00	流体圧力によって密封するのに適したパッキングをもつ継ぎ手（｛ホース用Ｆ１６Ｌ３３／１６｝；補正装置Ｆ１６Ｌ５１／００）
F16L17/02	管の外側表面とスリーブまたはソケットの内側表面の間に配置される密封リングをもつもの
F16L17/025	密封リングが半径方向に向けられたリブをもつもの
F16L17/03	環状の軸方向リップを有するもの
F16L17/032	｛密封リングがただ一つのリップを有するもの｝
F16L17/035	密封リングがお互に平行な２つのリップをもつもの
F16L17/04	縦方向に裂かれたまたは分割されたスリーブをもつもの
F16L17/06	管またはフランジの端面間，または管端またはフランジの溝に配置される密封リングをもつもの
F16L17/063	｛管または継ぎ手をもつ全体を形成するもの（ねじ継ぎ手用Ｆ１６Ｌ１５／０６）｝
F16L17/067	合成樹脂密封リング
F16L17/073	密封リングが互に平行な２つのリップのものを有するもの
F16L17/08	金属密封リング
F16L17/10	パッキングが管内または管を囲む流体以外の流体圧力によって密封されるもの
F16L19/00	シール表面が部材によって圧接される継ぎ手，例．継ぎ手部品の外面または内面にねじどめされる回転ナット（｛ねじ継手Ｆ１６Ｌ１５／００｝；Ｆ１６Ｌ１７／００が優先；もしボルトまたは同等連結手段を用いるならばＦ１６Ｌ２３／００；｛電気絶縁したものＦ１６Ｌ２５／０２；調節可能継ぎ手；動きを許容する継ぎ手Ｆ１６Ｌ２７／００；脆性材料の管に特に適合したものＦ１６Ｌ４９／０６｝）
F16L19/005	｛ねじ部材のためのロック手段からなるもの（ねじまたはナットのゆるみ止めそれ自体Ｆ１６Ｂ３９／００）｝
F16L19/02	管端が，ねじ部材によって押しつけられる管と一体または一体でないカラーまたはフランジを備えているもの
F16L19/0206	｛カラーが管と一体でないもの｝
F16L19/0212	｛密封手段に特に適合して用いるもの｝
F16L19/0218	｛密封リングのみからなるもの｝
F16L19/0225	｛密封リングのないもの｝
F16L19/0231	｛カラー背後のねじ切り部材の位置決めい特に適合された手段をもつもの｝
F16L19/0237	｛取り付け具，例．径減少部品，Ｔ部品，曲げ部品または同様のもの，の使用に特に適合されたもの（分岐単位それ自体Ｆ１６Ｌ４１／０２，曲げ部品それ自体Ｆ１６Ｌ４３／００；クリーニングするための開口部を有する管構成単位 それ自体Ｆ１６Ｌ４５／００）｝
F16L19/0243	｛被覆管との使用に特に適合されたもの｝
F16L19/025	管端が一体となったカラーまたはフランジをもつもの
F16L19/028	カラーまたはフランジが管壁の変形により得られるもの
F16L19/0283	｛およびベルマウス形状をもつもの｝
F16L19/0286	｛およびフランジとして形成されたもの｝
F16L19/04	付加的に剛性リングを使用するもので，少なくとも一つの連結する前かまたはその間に押しひろげられる管端で直接密封するもの
F16L19/041	｛リングが挿入体であるもの（Ｆ１６Ｌ１９／０４３が優先）｝
F16L19/043	｛付加的な密封手段をもつもの｝
F16L19/045	｛管壁を貫通する接続部品のひとつが切断端部からなるもの｝
F16L19/046	｛柔らかいリングからなるもの｝
F16L19/048	｛取り付け具，例．径減少部品，Ｔ部品，曲げ部品または同様のもの，の使用に特に適合されたもの（分岐単位それ自体Ｆ１６Ｌ４１／０２，曲げ部品それ自体Ｆ１６Ｌ４３／００；クリーニングするための開口部を有する管構成単位 それ自体Ｆ１６Ｌ４５／００）｝
F16L19/05	ねじこまれる部材，押し広げられる管端の外側との間に剛性圧力リングをもつもの
F16L19/055	｛圧力リングがねじ部材に回転可能に接続されたもの｝
F16L19/06	半径方向締め付けが非変形管端で楔作用によって達成されるもの
F16L19/061	｛圧力リングが締付けリングとねじ部材または接続部材との間に配置されたもの｝
F16L19/062	｛取付け部の使用に特に適合されたもの，例．径違い部品，Ｔ継手，ベンドまたは類似のもの（分岐ユニットそのものＦ１６Ｌ４１／０２；ベンドそのものＦ１６Ｌ４３／００；クリーニングするための開口部を有する管構成単位そのものＦ１６Ｌ４５／００）｝
F16L19/063	｛円錐状のねじ切り面によるもの｝
F16L19/065	くさび作用がリングよってもたらされるもの
F16L19/0653	｛リングが接続部品の一つに回転可能に接続されたもの｝
F16L19/0656	｛接続部品の一つと一体であるもの｝
F16L19/07	ソケットまたはスリーブ結合に適用されたもの
F16L19/075	｛等しい直径の管ための｝スピゴットとソケット結合のために特に適合するもの
F16L19/08	管の壁の中へ食い込む所の金属リングをもつもの｛（Ｆ１６Ｌ１９／０４５が優先）｝
F16L19/083	｛リングの長手方向断面が締付け中に変更されないもの｝
F16L19/086	｛付加的な密封手段をもつもの｝
F16L19/10	リングの形状が変えられたもの
F16L19/103	｛使用される管端あたり二つ以上のリングをもつもの｝
F16L19/106	｛リングが管端に突き当たる肩部を構成するもの｝
F16L19/12	付加された密封手段をもつもの
F16L19/14	環が接続部品の一つと一体となっているもの
F16L21/00	スリーブまたはソケットをもつ継ぎ手（Ｆ１６Ｌ１３／００，｛Ｆ１６Ｌ１５／００｝，Ｆ１６Ｌ１７／００，Ｆ１６Ｌ１９／００，｛Ｆ１６Ｌ２５／００２７，Ｆ１６Ｌ２７／００，Ｆ１６Ｌ３７／００｝が優先；｛プラスチックで作られるのに特に適した，またはプラスチックで作られた管とともに用いるのに特に適したものＦ１６Ｌ４７／０６；脆性材料の管に特に適合したものＦ１６Ｌ４９／０２｝）
F16L21/002	｛等しい直径の管のためのスリーブまたはニップル；径違い部品（弾性密封リングをもつものＦ１６Ｌ２１／０２２）｝
F16L21/005	｛弾性材料から作られたもの，例．締付け装置に部分的または全体に囲まれたもの（流体圧により密封するのに適した包装からなるものＦ１６Ｌ１７／０４，Ｆ１６Ｌ１１／２０；ホースクリップＦ１６Ｌ３３／０２）｝
F16L21/007	｛楔作用により締付けられるもの｝
F16L21/02	管とスリーブの間または管とソケットの間に弾性密封リングをもつもの，例．転動するまたは他の組み立て形リングをもつもの（Ｆ１６Ｌ２１／０６，Ｆ１６Ｌ２１／０８が優先；｛半径方向のリブをもつ密封リングＦ１６Ｌ１７／０２５；軸方向のリップを持つ密封リングＦ１６Ｌ１７／０３｝；もし調整可能な点が要旨ならばＦ１６Ｌ２７／００）
F16L21/022	｛等しい直径の管のためのスリーブまたはニップル，または径違い部品を用いるもの（Ｆ１６Ｌ２１／０２５が優先）｝
F16L21/025	転動するシールリングを用いるもの
F16L21/03	接続前にソケット内に配置されるもの（｛Ｆ１６Ｌ２１／０２２｝，Ｆ１６Ｌ２１／０２５が優先）
F16L21/035	接続前に差し込み口の端の周囲に配置されるもの（｛Ｆ１６Ｌ２１／０２２｝，Ｆ１６Ｌ２１／０２５が優先） 
F16L21/04	密封リングが軸方向に可動な部材によって圧縮されるもの｛（ねじ部材を用いる管のためのものＦ１６Ｌ１９／０７；迅速作動形の軸継手Ｆ１６Ｌ３７／００；管の内側からの漏水を被覆する装置Ｆ１６Ｌ５５／１６２）｝
F16L21/045	｛部材が密封リングを通過するもの｝
F16L21/05	おす部に配置される第１リングと，スリーブ又はソケット内の第２リングとからなるもの
F16L21/06	管端のまわりを締め付ける分割スリーブまたはリングをもつもの（フランジ継ぎ手Ｆ１６Ｌ２３／００；迅速作動形の連結器Ｆ１６Ｌ３７／００） 
F16L21/065	｛接線方向に配置されたねじ付きピンにより締めつけられるもの｝
F16L21/08	付加のロック手段をもつもの（｛Ｆ１６Ｌ１７／０３５，Ｆ１６Ｌ１７／０４，Ｆ１６Ｌ２１／０４｝，Ｆ１６Ｌ２１／０６が優先；｛ねじ継ぎ手Ｆ１６Ｌ１９／０８｝；迅速作動形の連結器Ｆ１６Ｌ３７／００）
F16L23/00	フランジ継ぎ手（Ｆ１６Ｌ１３／００，Ｆ１６Ｌ１７／００，Ｆ１６Ｌ１９／００が優先；調節可能継ぎ手Ｆ１６Ｌ２７／００；ホース用Ｆ１６Ｌ３３／００，迅速作動形の連結器Ｆ１６Ｌ３７／００；二重壁または多水路管用，または管組み立て品用Ｆ１６Ｌ３９／００；プラスチックで作られるのに特に適した，またはプラスチックで作られた管とともに用いるのに特に適した連結装置または取り付け具Ｆ１６Ｌ４７／００；脆性材料の管に特に適合したものＦ１６Ｌ４９／００）
F16L23/003	｛補助装置｝
F16L23/006	｛取付部｝
F16L23/02	軸方向に張力をうける部材によって結合されるフランジ（Ｆ１６Ｌ２３／１２が優先）
F16L23/024	フランジが管にどのように接合されているかに，または管からどのように延出形成されているかによって特徴づけられるもの
F16L23/026	溶接によるもの
F16L23/028	フランジが肩部に対して保持されているもの
F16L23/0283	｛カラーが管と一体であるもの｝
F16L23/0286	｛肩部が管から形成されていないもの｝
F16L23/032	フランジの形または構造によって特徴づけられるもの
F16L23/036	締付け部材に特徴があるもの，例．特別に用いられるボルトまたはＣ型クランプ
F16L23/04	半径方向に張力を受ける部材によって結合されるフランジ（Ｆ１６Ｌ２３／１２が優先）
F16L23/06	トグル作動レバーによって結合されるもの（トグル作動レバーによって締めつけられる迅速作動形軸継ぎ手Ｆ１６Ｌ３７／２０）
