C10M163/00	構造が不明または不明確な化合物と非高分子化合物との混合物であり，かつそれらの化合物がいずれも本質的成分である添加剤によって特徴づけられる潤滑組成物　<br><br><u>｛注</u><br><br>Ｃ１０Ｍ１５９／００５に包含される化合物で，構造が不明または不明確な化合物を含有する組成物は，　Ｃ１０Ｍ１６１／００に分類される｝
C10M165/00	高分子化合物と構造が不明または不明確な化合物との混合物であり，かつそれらの化合物がいずれも本質的成分である添加剤によって特徴づけられる潤滑組成物　<br><br><u>｛注</u><br><br>Ｃ１０Ｍ１５９／００５に包含される化合物で，構造が不明または不明確な化合物を含有する組成物は，Ｃ１０Ｍ１５７／００に分類される｝
C10M167/00	高分子化合物と非高分子化合物と構造が不明または不明確な化合物との混合物であり，かつそれらの化合物がいずれも本質的成分である添加剤によって特徴づけられる潤滑組成物　<br><br><u>｛注</u><br><br>Ｃ１０Ｍ１５９／００５に包含される化合物で，構造が不明または不明確な化合物を含有する組成物は，Ｃ１０Ｍ１６１／００に分類される｝
C10M169/00	いずれも本質的成分であって，先行の各グループに包含される基材，増稠剤または添加剤から選ばれる少なくとも２つのタイプの配合成分の混合物を成分として含有することによって特徴づけられる潤滑組成物
C10M169/02	基材と増稠剤との混合物
C10M169/04	基材と添加剤との混合物
C10M169/041	｛添加剤が高分子化合物のみであるもの｝
C10M169/042	｛添加剤が構造が不明または不明確な化合物のみであるもの｝
C10M169/044	｛添加剤が非高分子化合物と高分子化合物の混合物であるもの｝
C10M169/045	｛添加剤が構造が不明または不明確な化合物と非高分子化合物の混合物であるもの｝
C10M169/047	｛添加剤が構造が不明または不明確な化合物と高分子化合物の混合物であるもの｝
C10M169/048	｛添加剤が構造が不明または不明確な化合物，非高分子化合物および高分子化合物の混合物であるもの｝
C10M169/06	増稠剤と添加剤との混合物
C10M171/00	もっぱら物理的な基準によって特徴づけられる潤滑組成物，例．基材，増稠剤または添加剤として含有される配合成分が，数値的に特記される物理的性質によってのみ特徴づけられるもの，すなわち．含有される配合成分が物理的には明確化されているが，化学的には特定化されていないかまたは非常に漠然としか示されていないもの（化学的に明確化されている配合成分Ｃ１０Ｍ１０１／００／００〜Ｃ１０Ｍ１６９／００；石油留分Ｃ１０Ｍ１０１／０２，Ｃ１０Ｍ１２１／０２，Ｃ１０Ｍ１５９／０４）
C10M171/001	｛電気弾性流体；　スマート流体｝
C10M171/002	｛トラクション流体｝
C10M171/004	｛発泡を抑制した潤滑組成物｝
C10M171/005	｛揮発性油組成物；　蒸気状潤滑剤｝
C10M171/007	｛着色されたまたは染料含有潤滑組成物｝
C10M171/008	｛冷媒と互換性のある潤滑組成物｝
C10M171/02	特定された粘度または粘度指数
C10M171/04	特定された分子量または分子量分布
C10M171/06	特別な形状または大きさを有する粒子
C10M173/00	水を１０％よりも多く含有する潤滑組成物
C10M173/02	鉱油または脂肪油を含有しないもの
C10M173/025	｛コンベアベルトの潤滑のためのもの　
C10M175/00	使用済み潤滑剤から有用製品を回収するための仕上げ処理　｛分解蒸留　Ｃ１０Ｂ；　ＰＣＢの抽出および除去　Ｃ１０Ｇ７／００６，　Ｃ１０Ｇ２１／００６，　Ｃ１０Ｇ２５／００６；　燃焼プロセス　Ｆ２３Ｇ；　フィルター一般　Ｂ０１Ｄ）；　洗浄　（機械的方法　Ｂ０８Ｂ；　統合されたプロセス　Ｃ２３；　固体廃棄物Ｂ０９Ｂ）｝
C10M175/0008	｛吸着剤の使用によるもの｝
C10M175/0016	｛化学薬剤の使用によるもの｝
C10M175/0025	｛熱的プロセスによるもの｝
C10M175/0033	｛乾留方法を用いるもの；　その装置｝
C10M175/0041	｛水素化法によるもの｝
C10M175/005	｛抽出プロセスを用いるもの；　そのための装置｝
C10M175/0058	｛ろ過と遠心分離法によるもの；　そのための装置｝
C10M175/0066	｛電気的および磁気的手段の使用｝
C10M175/0075	｛合成油を基体とするもの｝
C10M175/0083	｛潤滑グリース｝
C10M175/0091	｛連続潤滑回路におけるオイルの処理　（例．　モーターオイルシステム）｝
C10M175/02	鉱油系
C10M175/04	水性エマルジョン系
C10M175/06	限外ろ過または浸透によるもの
C10M177/00	潤滑組成物の特別な調製方法；潤滑組成物の個々の成分または全体の後処理による化学的変性で，他のクラスに包含されないもの
C10M2201/00	<br>潤滑組成物中の配合成分としての無機化合物または元素
C10M2201/003	基材として用いられるもの
C10M2201/006	増稠剤として用いられるもの
C10M2201/02	水
C10M2201/022	過酸化水素；　酸素飽和水
C10M2201/04	元素
C10M2201/0403	基材として用いられるもの
C10M2201/0406	増稠剤として用いられるもの
C10M2201/041	炭素；黒鉛；カーボンブラック
C10M2201/0413	基材として用いられるもの
C10M2201/0416	増稠剤として用いられるもの
