G01N2015/0049	気体内フィラメントの
G01N2015/0053	液体内，例．トラブル
G01N2015/0057	液体内フィラメントの
G01N2015/0061	固体内，例．岩石分類
G01N2015/0092	凝集または塊状化の監視
G01N2015/0096	粉体濃度，吐粉性，粉塵性の調査
G01N15/01	
G01N2015/011	
G01N2015/012	
G01N2015/014	
G01N2015/016	
G01N2015/018	
G01N2015/019	
G01N15/02	粒度または粒度分布の調査（Ｇ０１Ｎ１５／０４，Ｇ０１Ｎ１５／１０が優先；浸透圧の測定によるものＧ０１Ｎ７／１０；ろ過法によるものＢ０１Ｄ；ふるい分け法によるものＢ０７Ｂ）
G01N15/0205	｛光散乱によるもの，例．回折模様からのもの，ホログラフィまたは画像を有するもの｝
G01N15/0211	｛散乱模様を調査するもの｝
G01N2015/0216	回折模様の変動からのもの
G01N2015/0222	
G01N15/0227	｛画像をもちいるもの，例．浮遊物の照射画像；ホログラフィを用いるもの｝
G01N2015/0233	ホログラフィを用いるもの
G01N2015/0238	単粒子散乱
G01N2015/0244	分子散乱の切出しを伴うもの
G01N2015/025	単粒子またはグループ粒子のための方法
G01N15/0255	｛機械的なもの，例．選別された収集物の慣性的な，分類，及び調査（遠心分離器を有するものＧ０１Ｎ１５／０４２）｝
G01N2015/0261	打撃具を用いるもの
G01N15/0266	｛電気的な分類を有するもの｝
G01N15/0272	｛ふるい分けを有するもの；ろ過による分類（Ｂ０１Ｄが優先）｝
G01N2015/0277	平均サイズのみ
G01N2015/0283	懸濁質濃度の制御を用いるもの
G01N2015/0288	粒子を分類するもの
G01N2015/0294	粒子形状
G01N2015/03	
G01N2015/035	
G01N15/04	懸濁質の沈降の調査
G01N15/042	｛遠心分離及び遠心分離調査（遠心機それ自体Ｂ０４Ｂ）｝
G01N2015/045	光学走査によるもの
G01N2015/047	多重検出器上で静的なもの
G01N15/05	血液内の
G01N2015/055	ヘマトクリット測定のためのもの
G01N15/06	懸濁質の濃度の調査（Ｇ０１Ｎ１５／０４，Ｇ０１Ｎ１５／１０が優先；重量測定によるものＧ０１Ｎ５／００）．｛参考<br><br><u>注</u><br><br>先行グループとそのサブグループに包含される主題事項に関する検索を行う際，重要となるＥＣＬＡ領域を以下に示す参照事項により示す:．‐材料の調査または分析；．‐光学的手段の使用によるもの:Ｇ０１Ｎ２１／００，例．Ｇ０１Ｎ２１／４７，Ｇ０１Ｎ２１／９０；．‐他の放射線または粒子によるもの:Ｇ０１Ｎ２３／００，例．Ｇ０１Ｎ２３／０２，Ｇ０１Ｎ２３／２０１；．‐インピーダンス測定によるもの:Ｇ０１Ｎ２７／０２，例．Ｇ０１Ｎ２７／０６，Ｇ０１Ｎ２７／２２；．‐電気化学的手段によるもの:Ｇ０１Ｎ２７／００，例．Ｇ０１Ｎ２７／２６，Ｇ０１Ｎ２７／５６Ｂ(ＥＣＬＡ)；．‐音波または超音波振動の吸収測定によるもの:Ｇ０１Ｎ２９／００，例．Ｇ０１Ｎ２９／０２｝
G01N15/0606	｛支持体上の粒子を収集するもの｝
G01N15/0612	｛堆積物の光学走査（Ｇ０１Ｎ１５／０６２５が優先）｝
G01N15/0618	｛フィルタ型のもの（Ｇ０１Ｎ１５／０６４３が優先）｝
G01N15/0625	｛堆積物の光学走査｝
G01N15/0631	｛液体の分離，例．吸収によるもの，ウィッキング｝
G01N15/0637	｛移動支持体｝
G01N15/0643	｛フィルタ型のもの｝
G01N15/065	｛凝縮核カウンタを用いるもの｝
G01N15/0656	｛電気的，例．静電方法または磁気的方法を用いるもの（個々の粒子を調査するものＧ０１Ｎ１５／１０３１，Ｇ０１Ｎ１５／１２）｝
G01N2015/0662	フィルタ通過前後を比較するもの
G01N2015/0668	試料とキャリア流体の特性を比較するもの，例．水中の油
G01N2015/0675	希釈前後の懸濁液を比較するもの
G01N2015/0681	粒子を意図的に変形させるもの，例．加湿増大
G01N2015/0687	溶液中のもの，例．不揮発性残留物
G01N15/075	
G01N15/08	多孔性材料の透過率，気孔量，または表面積の調査
G01N15/0806	｛細部，例．コアホルダ，試験用コア試料を搭載するもの｝
G01N2015/0813	貫入を測定するもの，例．水銀の
G01N15/082	｛試料を介した流体付勢による透過率の調査｝
G01N15/0826	｛及び流体流速を測定するもの，すなわち透過速度または圧力変化｝
G01N2015/0833	細孔表面積
G01N2015/084	フィルタを試験するもの
G01N2015/0846	放射線の透過によるもの
G01N2015/0853	電気容量測定によるもの
G01N2015/086	膜，皮膜またはフィルムの
G01N2015/0866	吸着
G01N2015/0873	動的収着，例．流量制御手段を有するもの
G01N15/088	｛気孔の量，表面積，サイズまたは分布を調査するもの；ポロシメトリ｝
G01N15/0886	｛水銀ポロシメトリ｝
