A47L11/4011	9	{Regulation of the cleaning machine by electric means; Control systems and remote control systems therefor}	A47L11/40	A47L11/40		6688
A47L11/4013	9	{Contaminants collecting devices, i.e. hoppers, tanks or the like}	A47L11/40	A47L11/40		2944
A47L11/4016	10	{specially adapted for collecting fluids}	A47L11/40	A47L11/40		2508
A47L11/4019	11	{Fill level sensors; Security means to prevent overflow, e.g. float valves}	A47L11/40	A47L11/40		358
A47L11/4022	11	{with means for recycling the dirty liquid (treatment of waste water C02F)}	A47L11/40	A47L11/40		373
A47L11/4025	10	{Means for emptying}	A47L11/40	A47L11/40		1045
A47L11/4027	9	{Filtering or separating contaminants or debris}	A47L11/40	A47L11/40		1237
A47L11/403	10	{Means for monitoring filtering operation}	A47L11/40	A47L11/40		41
A47L11/4033	10	{Means for cleaning filters}	A47L11/40	A47L11/40		146
A47L11/4036	9	{Parts or details of the surface treating tools}	A47L11/40	A47L11/40		4136
A47L11/4038	10	{Disk shaped surface treating tools}	A47L11/40	A47L11/40		3666
A47L11/4041	10	{Roll shaped surface treating tools}	A47L11/40	A47L11/40		4999
A47L11/4044	10	{Vacuuming or pick-up tools; Squeegees}	A47L11/40	A47L11/40		2588
A47L11/4047	10	{Wound-up or endless cleaning belts}	A47L11/40	A47L11/40		679
A47L11/405	10	{Machines using UV-lamps, IR-lamps, ultrasound or plasma cleaning}	A47L11/40	A47L11/40		238
A47L11/4052	9	{Movement of the tools or the like perpendicular to the cleaning surface}	A47L11/40	A47L11/40		351
A47L11/4055	10	{for lifting the tools to a non-working position}	A47L11/40	A47L11/40		820
A47L11/4058	10	{for adjusting the height of the tool}	A47L11/40	A47L11/40		1584
A47L11/4061	9	{Steering means; Means for avoiding obstacles; Details related to the place where the driver is accommodated}	A47L11/40	A47L11/40		3862
A47L11/4063	9	{Driving means; Transmission means therefor}	A47L11/40	A47L11/40		708
A47L11/4066	10	{Propulsion of the whole machine}	A47L11/40	A47L11/40		1995
A47L11/4069	10	{Driving or transmission means for the cleaning tools}	A47L11/40	A47L11/40		6269
A47L11/4072	9	{Arrangement of castors or wheels}	A47L11/40	A47L11/40		2240
A47L11/4075	9	{Handles; levers}	A47L11/40	A47L11/40		2070
A47L11/4077	9	{Skirts or splash guards}	A47L11/40	A47L11/40		695
A47L11/408	9	{Means for supplying cleaning or surface treating agents}	A47L11/40	A47L11/40		1627
A47L11/4083	10	{Liquid supply reservoirs; Preparation of the agents, e.g. mixing devices}	A47L11/40	A47L11/40		3603
A47L11/4086	10	{Arrangements for steam generation}	A47L11/40	A47L11/40		881
