E02F3/48	10	Drag-lines	E02F3/48	E02F3/48		345
E02F3/50	10	with buckets or other digging elements moved along a rigid guideway	E02F3/50	E02F3/50		236
E02F3/52	10	Cableway excavators (cable cranes B66C)	E02F3/52	E02F3/52		387
E02F3/54	10	Cable scrapers {(E02F3/48, E02F3/52 take precedence)}	E02F3/54	E02F3/54		82
E02F3/56	11	with hand-controlled scraper or other digging elements	E02F3/56	E02F3/56		58
E02F3/58	10	Component parts {(E02F9/14, E02F3/905 take precedence)}	E02F3/58	E02F3/58		361
E02F3/60	11	Buckets, scrapers, or other digging elements	E02F3/60	E02F3/60		876
E02F3/627	9	Devices to connect beams or arms to tractors or similar self-propelled machines, {e.g. drives therefor (connection of beams or booms or arms to the frame per seE02F3/382; connection of scraper bowls to the vehicle main body E02F3/653; connecting devices for agriculture tractors A01B59/06)}	E02F3/627	E02F3/627		524
E02F3/6273	10	{using legs to support the beams or arms on the ground during the connecting process}	E02F3/627	E02F3/627		262
E02F3/6276	10	{on one side of the frame}	E02F3/627	E02F3/627		36
E02F3/633	10	Drives therefor {(not used, seeE02F3/627)}	E02F3/633	E02F3/633		2
E02F3/64	9	Buckets cars, i.e. having scraper bowls {(for cable scrapers E02F3/54 takes precedence; soil working machines in agriculture A01B)}	E02F3/64	E02F3/64		424
E02F3/6409	10	{Self-propelled scrapers}	E02F3/64	E02F3/64		30
E02F3/6418	11	{with rotatable scraper bowls for dumping the soil (with only elements of the scraper bowls being pivotable E02F3/6427)}	E02F3/64	E02F3/64		69
E02F3/6427	11	{with elements of the scraper bowls being pivotable for dumping the soil (E02F3/6445 take precedence; with an ejector having translational movement E02F3/6436)}	E02F3/64	E02F3/64		56
E02F3/6436	11	{with scraper bowls with an ejector having translational movement for dumping the soil (E02F3/6445 takes precedence)}	E02F3/64	E02F3/64		114
E02F3/6445	11	{with conveying means for emptying the scraper bowl}	E02F3/64	E02F3/64		13
E02F3/6454	10	{Towed (i.e. pulled or pushed) scrapers}	E02F3/64	E02F3/64		226
E02F3/6463	11	{with rotatable scraper bowls for dumping the soil (with only elements of the scraper bowls being pivotable E02F3/6472)}	E02F3/64	E02F3/64		1023
E02F3/6472	11	{with elements of the scraper bowls being pivotable for dumping the soil (E02F3/649 takes precedence; with an ejector having translational movement E02F3/6481)}	E02F3/64	E02F3/64		230
E02F3/6481	11	{with scraper bowls with an ejector having translational movement for dumping the soil (E02F3/649 takes precedence)}	E02F3/64	E02F3/64		401
E02F3/649	11	{with conveying means for emptying the scraper bowl}	E02F3/64	E02F3/64		18
E02F3/65	10	Component parts, e.g. drives, control devices	E02F3/65	E02F3/65		307
E02F3/651	11	{Hydraulic or pneumatic drives; Electric or electro-mechanical control devices (E02F3/652, E02F3/653 take precedence)}	E02F3/65	E02F3/65		242
E02F3/652	11	{Means to adjust the height of the scraper bowls, e.g. suspension means, tilt control, earth damping control}	E02F3/65	E02F3/65		304
E02F3/653	11	{Connection mechanisms to the main body of the machine (connection of tools to dipper-arms, booms, bucket-arms E02F3/3604; connection of beams or booms or arms to tractors in general E02F3/627)}	E02F3/65	E02F3/65		161
E02F3/654	11	{Scraper bowls and components mounted on them}	E02F3/65	E02F3/65		93
E02F3/655	12	{Loading or elevator mechanisms (loading devices for excavators in general E02F7/04)}	E02F3/65	E02F3/65		226
E02F3/656	12	{Ejector or dumping mechanisms (for buckets mounted on a dipper-arm or bucket arms E02F3/407)}	E02F3/65	E02F3/65		590
E02F3/657	12	{Means to prevent the spilling of dredged material, e.g. apron, baffle}	E02F3/65	E02F3/65		373
E02F3/658	12	{Cutting edge (for graders or bulldozer blades E02F3/8152, E02F3/8155; teeth per seE02F9/28)}	E02F3/65	E02F3/65		88
E02F3/659	12	{Conveying means for emptying scraper bowls (conveying equipment for excavators in general E02F7/02)}	E02F3/65	E02F3/65		19
E02F3/76	9	Graders, bulldozers, or the like with scraper plates or ploughshare-like elements (soil-working A01B); Levelling {scarifying} devices {(street cleaning E01H; construction of roads E01C19/00, E01C23/00)}	E02F3/76	E02F3/76		802
E02F3/7604	10	{Combinations of scraper blades with soil loosening tools working independently of scraper blades (soil loosening attachments fixed on blades E02F3/8152, E02F3/8155)}	E02F3/76	E02F3/76		476
E02F3/7609	10	{Scraper blade mounted forwardly of the tractor on a pair of pivoting arms which are linked to the sides of the tractor, e.g. bulldozers}	E02F3/76	E02F3/76		448
E02F3/7613	11	{with the scraper blade adjustable relative to the pivoting arms about a vertical axis, e.g. angle dozers}	E02F3/76	E02F3/76		405
E02F3/7618	11	{with the scraper blade adjustable relative to the pivoting arms about a horizontal axis}	E02F3/76	E02F3/76		485
E02F3/7622	10	{Scraper equipment with the scraper blade mounted on a frame to be hitched to the tractor by bars, arms, chains or the like, the frame having no ground supporting means of its own, e.g. drag scrapers}	E02F3/76	E02F3/76		251
E02F3/7627	11	{with the scraper blade adjustable relative to the frame about a vertical axis}	E02F3/76	E02F3/76		367
E02F3/7631	11	{with the scraper blade adjustable relative to the frame about a horizontal axis}	E02F3/76	E02F3/76		208
E02F3/7636	10	{Graders with the scraper blade mounted under the tractor chassis}	E02F3/76	E02F3/76		308
E02F3/764	11	{with the scraper blade being pivotable about a vertical axis}	E02F3/76	E02F3/76		553
E02F3/7645	11	{with the scraper blade being pivotable about a horizontal axis disposed parallel to the blade}	E02F3/76	E02F3/76		175
E02F3/765	11	{with the scraper blade being pivotable about a horizontal axis disposed perpendicular to the blade}	E02F3/76	E02F3/76		324
E02F3/7654	11	{with the scraper blade being horizontally movable into a position near the chassis}	E02F3/76	E02F3/76		106
E02F3/7659	11	{with the vertical centre-line of the scraper blade disposed laterally relative to the central axis of the chassis}	E02F3/76	E02F3/76		70
E02F3/7663	10	{Graders with the scraper blade mounted under a frame supported by wheels, or the like}	E02F3/76	E02F3/76		306
E02F3/7668	11	{with the scraper blade being pivotable about a vertical axis}	E02F3/76	E02F3/76		274
E02F3/7672	11	{with the scraper blade being pivotable about a horizontal axis disposed parallel to the blade}	E02F3/76	E02F3/76		212
E02F3/7677	11	{with the scraper blade being pivotable about a horizontal axis disposed perpendicular to the blade}	E02F3/76	E02F3/76		83
E02F3/7681	11	{with the scraper blade being horizontally movable into a position near the frame}	E02F3/76	E02F3/76		54
E02F3/7686	11	{with the vertical centre-line of the scraper blade disposed laterally relative to the central axis of the frame}	E02F3/76	E02F3/76		138
E02F3/769	10	{Graders, bulldozers, or the like comprising loaders}	E02F3/76	E02F3/76		118
E02F3/7695	10	{Graders, bulldozers or the like comprising elevators or conveyors}	E02F3/76	E02F3/76		337
E02F3/78	10	with rotating digging elements	E02F3/78	E02F3/78		114
E02F3/783	11	{having a horizontal axis of rotation}	E02F3/78	E02F3/78		319
E02F3/786	11	{having a vertical axis of rotation}	E02F3/78	E02F3/78		52
E02F3/80	10	Component parts	E02F3/80	E02F3/80		621
E02F3/815	11	Blades; Levelling {or scarifying} tools {(E02F3/40 takes precedence)}	E02F3/815	E02F3/815		853
E02F3/8152	12	{Attachments therefor, e.g. wear resisting parts, cutting edges (E02F3/8155, E02F3/8157 take precedence; teeth per seE02F9/28)}	E02F3/815	E02F3/815		781
E02F3/8155	12	{provided with movable parts, e.g. cutting discs, vibrating teeth or the like}	E02F3/815	E02F3/815		375
E02F3/8157	12	{Shock absorbers; Supports, e.g. skids, rollers; Devices for compensating wear-and-tear, or the like}	E02F3/815	E02F3/815		350
