B41M5/50	8	Recording sheets characterised by the coating used to improve ink, dye or pigment receptivity, e.g. for ink-jet or thermal dye transfer recording {(printing on organic plastics using a printer&apos;s form B41M1/30; printing on pre-treated paper with a printer&apos;s form B41M1/36)}	B41M5/50	B41M5/50		423
B41M5/502	9	{characterised by structural details, e.g. multilayer materials (supports, backcoats or intermediate layers for thermal dye transfer donor and receiver sheets B41M5/41, B41M5/42)}	B41M5/50	B41M5/50		1168
B41M5/504	10	{Backcoats}	B41M5/50	B41M5/50		425
B41M5/506	10	{Intermediate layers}	B41M5/50	B41M5/50		1285
B41M5/508	10	{Supports}	B41M5/50	B41M5/50		1671
B41M5/52	9	Macromolecular coatings<br><br><u>NOTE</u><br><br>  In this group, when the invention information lies in a combination of features covered by more than one of its subgroups, classification is made in B41M5/52, using the corresponding indexing codes of its subgroups to identify the individual features  	B41M5/52	B41M5/52		3901
B41M5/5209	10	{Coatings prepared by radiation-curing, e.g. using photopolymerisable compositions}	B41M5/52	B41M5/52		238
B41M5/5218	10	{characterised by inorganic additives, e.g. pigments, clays}	B41M5/52	B41M5/52		2904
B41M5/5227	10	{characterised by organic non-macromolecular additives, e.g. UV-absorbers, plasticisers, surfactants}	B41M5/52	B41M5/52		1385
B41M5/5236	10	{characterised by the use of natural gums, of proteins, e.g. gelatins, or of macromolecular carbohydrates, e.g. cellulose}	B41M5/52	B41M5/52		1120
B41M5/5245	10	{characterised by the use of polymers containing cationic or anionic groups, e.g. mordants}	B41M5/52	B41M5/52		1048
B41M5/5254	10	{characterised by the use of polymers obtained by reactions only involving carbon-to-carbon unsaturated bonds, e.g. vinyl polymers}	B41M5/52	B41M5/52		2884
B41M5/5263	10	{characterised by the use of polymers obtained otherwise than by reactions only involving carbon-to-carbon unsaturated bonds}	B41M5/52	B41M5/52		257
B41M5/5272	11	{Polyesters; Polycarbonates}	B41M5/52	B41M5/52		700
B41M5/5281	11	{Polyurethanes or polyureas}	B41M5/52	B41M5/52		711
B41M5/529	10	{characterised by the use of fluorine- or silicon-containing organic compounds}	B41M5/52	B41M5/52		635
B41M7/00	7	After-treatment of prints, e.g. heating, irradiating, {setting of the ink, protection of the printed stock (pre-treatment or treatment during printing B41M5/0011; printers for treating or overcoating copy materials before, during or after printing B41J11/0015)}	B41M7/00	B41M7/00		1323
B41M7/0009	8	{Obliterating the printed matter; Non-destructive removal of the ink pattern, e.g. for repetitive use of the support}	B41M7/00	B41M7/00		357
B41M7/0018	8	{using ink-fixing material, e.g. mordant, precipitating agent, after printing, e.g. by ink-jet printing, coating or spraying}	B41M7/00	B41M7/00		329
B41M7/0027	8	{using protective coatings or layers by lamination or by fusion of the coatings or layers}	B41M7/00	B41M7/00		1943
B41M7/0036	8	{using protective coatings or layers dried without curing}	B41M7/00	B41M7/00		329
B41M7/0045	8	{using protective coatings or film forming compositions cured by mechanical wave energy, e.g. ultrasonics, cured by electromagnetic radiation or waves, e.g. ultraviolet radiation, electron beams, or cured by magnetic or electric fields, e.g. electric discharge, plasma}	B41M7/00	B41M7/00		637
B41M7/0054	8	{using protective coatings or film forming compositions cured by thermal means, e.g. infrared radiation, heat}	B41M7/00	B41M7/00		440
B41M7/0063	8	{Preservation or restoration of currency, books or archival material, e.g. by deacidifying}	B41M7/00	B41M7/00		90
B41M7/0072	8	{using mechanical wave energy, e.g. ultrasonics; using magnetic or electric fields, e.g. electric discharge, plasma}	B41M7/00	B41M7/00		252
B41M7/0081	8	{using electromagnetic radiation or waves, e.g. ultraviolet radiation, electron beams}	B41M7/00	B41M7/00		2355
B41M7/009	8	{using thermal means, e.g. infrared radiation, heat}	B41M7/00	B41M7/00		2030
B41M7/02	8	Dusting {, e.g. with an anti-offset powder for obtaining raised printing such as by thermogravure (B41M7/0027, B41M7/0036, B41M7/0045, B41M7/0054, B41M7/0072, B41M7/0081, B41M7/009 take precedence); Varnishing (devices for treating the surfaces of sheets, webs, or other articles in connection with printing B41F23/00, B41L23/00)}	B41M7/02	B41M7/02		423
