E04G11/14	11	with beams arranged in alignment with and between the elements {and form also the shuttering face}	E04G11/14	E04G11/14		128
E04G11/16	11	with beams placed within the wall	E04G11/16	E04G11/16		55
E04G11/18	10	for double walls	E04G11/18	E04G11/18		290
E04G11/20	9	Movable forms; Movable forms for moulding cylindrical, conical or hyperbolical structures; Templates serving as forms for positioning blocks or the like (E04G11/04 takes precedence)	E04G11/20	E04G11/20		386
E04G11/22	10	Sliding forms raised continuously or step-by-step and being in contact with the poured concrete during raising {and which are not anchored in the hardened concrete}; Arrangements of lifting means therefor	E04G11/22	E04G11/22		985
E04G11/24	11	Construction of lifting jacks or climbing rods for sliding forms (climbing-type hoisting units in general B66F)	E04G11/24	E04G11/24		370
E04G11/26	10	the sheathing of which consists of ribbons, endless aprons or the like, guided by driven rollers {(E04G11/34 takes precedence)}	E04G11/26	E04G11/26		48
E04G11/28	10	Climbing forms, i.e. forms which are not in contact with the poured concrete during lifting from layer to layer {and which are anchored in the hardened concrete}	E04G11/28	E04G11/28		1147
E04G11/30	11	which are lifted from layer to layer by turning, tilting, or similar moving upwards about a horizontal axis	E04G11/30	E04G11/30		73
E04G11/32	10	Tiltable forms or tilting tables for making walls as a whole or in parts in situ	E04G11/32	E04G11/32		90
E04G11/34	10	Horizontally-travelling moulds for making walls blockwise or section-wise (E04G11/26 takes precedence)	E04G11/34	E04G11/34		370
E04G11/36	8	for floors, ceilings, or roofs of plane or curved surfaces {end formpanels for floor shutterings (floors with lost forms E04B5/32)}	E04G11/36	E04G11/36		1110
E04G11/365	9	{Stop-end shutterings (end panels for walls E04G11/085)}	E04G11/36	E04G11/36		489
E04G11/38	9	for plane ceilings of concrete	E04G11/38	E04G11/38		819
E04G11/40	9	for coffered or ribbed ceilings	E04G11/40	E04G11/40		227
E04G11/42	10	with beams of metal or prefabricated concrete {which are not, or of which only the upper part is embedded}	E04G11/42	E04G11/42		67
E04G11/44	10	with supporting beams for the shuttering used simultaneously as permanent reinforcement of the ribs	E04G11/44	E04G11/44		67
E04G11/46	10	of hat-like or trough-like shape encasing a rib or the section between two ribs or encasing one rib and its adjacent flat floor or ceiling section {(for separately encased beams E04G13/04)}	E04G11/46	E04G11/46		766
E04G11/48	9	Supporting structures for shutterings or frames for floors or roofs (struts E04G25/00)	E04G11/48	E04G11/48		2197
E04G11/483	10	{Supporting heads (E04G11/486 takes precedence)}	E04G11/48	E04G11/48		576
E04G11/486	10	{Dropheads supporting the concrete after removal of the shuttering; Connecting means on beams specially adapted for dropheads}	E04G11/48	E04G11/48		416
E04G11/50	10	Girders, beams, or the like as supporting members for forms (girders intended to form part of the construction E04C3/02; members, e.g. consoles, for attachment to the wall E04G17/16)	E04G11/50	E04G11/50		1175
E04G2011/505	11	{with nailable or screwable inserts}	E04G11/50	E04G11/50		234
E04G11/52	11	of several units arranged one after another	E04G11/52	E04G11/52		260
E04G11/54	11	of extensible type, with or without adjustable supporting shoes, fishplates, or the like	E04G11/54	E04G11/54		193
E04G11/56	12	of telescopic type	E04G11/56	E04G11/56		346
E04G13/00	7	Falsework, forms, or shutterings for particular parts of buildings, e.g. stairs, steps, cornices, balconies {foundations, sills (E04G11/365 takes precedence; flat foundations, e.g. with lost forms E02D27/01; removable forms or shutterings for road-building purposes E01C19/50)}	E04G13/00	E04G13/00		1849
E04G13/02	8	for columns or like pillars; Special tying or clamping means therefor {(columns, pillars of concrete with permanent forms E04C3/34)}	E04G13/02	E04G13/02		1864
E04G13/021	9	{for circular columns}	E04G13/02	E04G13/02		524
E04G13/023	9	{with means for modifying the sectional dimensions (E04G13/021 takes precedence)}	E04G13/02	E04G13/02		235
E04G13/025	10	{with stiff clamping means bracing the back-side of the form without penetrating the forming surface}	E04G13/02	E04G13/02		385
E04G13/026	11	{the forming surface-element being the same for different sections of the column}	E04G13/02	E04G13/02		97
E04G13/028	9	{for columns&apos; capital}	E04G13/02	E04G13/02		123
E04G13/04	8	for lintels, beams, or transoms to be encased separately; Special tying or clamping means therefor ({hat-like or trough-like elements encasing a rib and its adjacent ceiling section E04G11/46; } members, e.g. consoles, for attachment to the wall E04G17/16)	E04G13/04	E04G13/04		1703
E04G13/06	8	for stairs, steps, cornices, balconies, or other parts corbelled out of the wall {(moulds for making prefabricated stair units B28B7/225; stairways with permanent forms E04F11/02)}	E04G13/06	E04G13/06		556
