A46B15/0046	10	{with vibrating signalling means}	A46B15/00	A46B15/00		82
A46B15/0048	9	{Drip collector, e.g. collecting the liquids dripping from the brush during a brushing process}	A46B15/00	A46B15/00		107
A46B15/0051	9	{Brushes fitted with ventilation means, e.g. with air buffers, air vents}	A46B15/00	A46B15/00		189
A46B15/0053	9	{Brushes fitted with ventilation suction, e.g. for removing dust (vacuum cleaner A47L7/00)}	A46B15/00	A46B15/00		223
A46B15/0055	8	{Brushes combined with other articles normally separate from the brushing process, e.g. combs, razors, mirrors}	A46B15/00	A46B15/00		1373
A46B15/0057	9	{Brushes fitted with a device for cleaning the ears}	A46B15/00	A46B15/00		21
A46B15/0059	9	{Brushes with a comb}	A46B15/00	A46B15/00		106
A46B15/0061	9	{with a container for accessories, e.g. pills, polish, condoms, cells (A46B11/00 takes precedence)}	A46B15/00	A46B15/00		301
A46B15/0063	9	{Brushes with a device for opening containers, e.g. shoes polish (A46B11/0093 takes precedence)}	A46B15/00	A46B15/00		34
A46B15/0065	9	{Brush with an additional cutting tool, e.g. nail clippers, hair cutting}	A46B15/00	A46B15/00		66
A46B15/0067	9	{Brushes fitted with a drinking device, i.e. brushes with devices allowing drinking}	A46B15/00	A46B15/00		81
A46B15/0069	9	{Brushes fitted with a interdental devices, e.g. toothpick (A46B2200/108 takes precedence)}	A46B15/00	A46B15/00		392
A46B15/0071	10	{Toothbrushes with flossing arrangements (A61C15/04 takes precedence)}	A46B15/00	A46B15/00		382
A46B15/0073	10	{Brushes with an arrangement for using the floss}	A46B15/00	A46B15/00		68
A46B15/0075	9	{Brushes with an additional massage device}	A46B15/00	A46B15/00		326
A46B15/0077	9	{Brushes fitted with a mirror}	A46B15/00	A46B15/00		161
A46B15/0079	9	{Brushes fitted with a razor or other shaving equipments}	A46B15/00	A46B15/00		73
A46B15/0081	9	{Brushes with a scraper, e.g. tongue scraper}	A46B15/00	A46B15/00		791
A46B15/0083	9	{Brushes with a shoehorn}	A46B15/00	A46B15/00		18
A46B15/0085	8	{Brushes provided with an identification, marking device or design}	A46B15/00	A46B15/00		215
A46B15/0087	8	{Brushes with decoration on or in the handle}	A46B15/00	A46B15/00		166
A46B15/0089	8	{Brushes with figurines such as animals on the handle}	A46B15/00	A46B15/00		109
A46B15/0091	8	{Container, e.g. bag or box with a collection of various devices}	A46B15/00	A46B15/00		430
A46B15/0093	8	{Magazins or sets of brushes components, e.g. plurality of brushes linked as a package}	A46B15/00	A46B15/00		185
A46B15/0095	8	{Brushes with a feature for storage after use}	A46B15/00	A46B15/00		527
A46B15/0097	8	{Self supporting, e.g. brushes that stand upright or in other particular ways}	A46B15/00	A46B15/00		328
A46B17/00	7	Accessories for brushes	A46B17/00	A46B17/00		481
A46B17/02	8	Devices for holding brushes in use	A46B17/02	A46B17/02		948
A46B17/04	8	Protective covers for the bristles	A46B17/04	A46B17/04		1852
A46B17/06	8	Devices for cleaning brushes after use	A46B17/06	A46B17/06		1672
A46B17/065	9	{Sterilising brushes; products integral with the brush for sterilising, e.g. tablets, rinse, disinfectant}	A46B17/06	A46B17/06		504
A46B17/08	8	Other accessories, e.g. scrapers, rubber buffers for preventing damage to furniture	A46B17/08	A46B17/08		842
A46B2200/00	7	Brushes characterized by their functions, uses or applications	CPCONLY	A46B2200/00		12
A46B2200/01	8	Disposable brush (A46B11/0003, A46B5/0004 take precedence)	CPCONLY	A46B2200/01		181
A46B2200/10	8	For human or animal care	CPCONLY	A46B2200/10		94
A46B2200/1006	9	Brushes for cleaning the hand or the human body	CPCONLY	A46B2200/1006		563
A46B2200/1013	10	Brushes for cleaning fingers or finger nails	CPCONLY	A46B2200/1013		143
A46B2200/102	9	Brush specifically designed for massaging the skin or scalp (A46B2200/1026 takes precedence)	CPCONLY	A46B2200/102		556
A46B2200/1026	9	Gum massaging brush, i.e. specifically designed for massaging the gums	CPCONLY	A46B2200/1026		175
A46B2200/1033	9	Brush for applying or spreading shaving foam or soap	CPCONLY	A46B2200/1033		197
A46B2200/104	9	Hair brush	CPCONLY	A46B2200/104		1740
A46B2200/1046	9	Brush used for applying cosmetics	CPCONLY	A46B2200/1046		1623
A46B2200/1053	10	Cosmetics applicator specifically for mascara	CPCONLY	A46B2200/1053		1164
A46B2200/106	11	Cosmetics applicator specifically for mascara including comb like element	CPCONLY	A46B2200/106		472
A46B2200/1066	9	Toothbrush for cleaning the teeth or dentures (A61C17/16 takes precedence; bristles arrangements for toothbrushes A46B9/04)	CPCONLY	A46B2200/1066		10777
A46B2200/1073	10	Denture toothbrush, i.e. used for dentures specifically	CPCONLY	A46B2200/1073		140
A46B2200/108	10	Inter-dental toothbrush, i.e. for cleaning interdental spaces specifically	CPCONLY	A46B2200/108		866
A46B2200/1086	10	Toothbrush for cleaning animal teeth specifically	CPCONLY	A46B2200/1086		116
A46B2200/1093	9	Brush for use on animal (A46B2200/1086 takes precedence)	CPCONLY	A46B2200/1093		408
A46B2200/20	8	Brushes for applying products to surfaces in general (A46B2200/10 takes precedence)	CPCONLY	A46B2200/20		314
A46B2200/202	9	Applicator paint brush	CPCONLY	A46B2200/202		1381
A46B2200/205	10	Artist paint brush, e.g. paint brushes that as a rule come to a point for fine work	CPCONLY	A46B2200/205		168
A46B2200/207	9	Food brush, i.e. used in cooking for applying substances on the surface of the food	CPCONLY	A46B2200/207		62
A46B2200/30	8	Brushes for cleaning or polishing	CPCONLY	A46B2200/30		647
A46B2200/3006	9	Brushes for cleaning bottles or hollow containers	CPCONLY	A46B2200/3006		631
A46B2200/3013	9	Brushes for cleaning the inside or the outside of tubes	CPCONLY	A46B2200/3013		325
A46B2200/302	9	Broom	CPCONLY	A46B2200/302		1384
A46B2200/3026	9	Dusting brush	CPCONLY	A46B2200/3026		166
A46B2200/3033	9	Household brush, i.e. brushes for cleaning in the house or dishes	CPCONLY	A46B2200/3033		906
A46B2200/304	9	Lavatory brush, i.e. brushes for cleaning toilets	CPCONLY	A46B2200/304		623
A46B2200/3046	9	Brushes for cleaning cars or parts thereof	CPCONLY	A46B2200/3046		681
A46B2200/3053	9	Clothes brush, i.e. brushes specifically designed for cleaning clothes	CPCONLY	A46B2200/3053		137
A46B2200/306	9	Shoe cleaning or polishing brush	CPCONLY	A46B2200/306		348
A46B2200/3066	9	Brush specifically designed for use with street cleaning machinery	CPCONLY	A46B2200/3066		288
A46B2200/3073	9	Brush for cleaning specific unusual places not otherwise covered, e.g. gutters, golf clubs, tops of tin cans, corners	CPCONLY	A46B2200/3073		1073
A46B2200/308	9	Curling brooms	CPCONLY	A46B2200/308		39
A46B2200/3086	9	Brushes for polishing	CPCONLY	A46B2200/3086		119
A46B2200/3093	9	Brush with abrasive properties, e.g. wire bristles	CPCONLY	A46B2200/3093		344
A46B2200/40	8	Other application	CPCONLY	A46B2200/40		47
A46B2200/405	9	Brush used for purposes that are not conventional brushing, e.g. holder or support	CPCONLY	A46B2200/405		76
