B23F21/26	8	Broaching tools	B23F21/26	B23F21/26		65
B23F21/262	9	{with inserted cutting elements (B23F21/266 and B23F21/268 take precedence)}	B23F21/26	B23F21/26		2
B23F21/264	10	{in exchangeable arrangement}	B23F21/26	B23F21/26		6
B23F21/266	9	{mounted on an endless chain or belt}	B23F21/26	B23F21/26		10
B23F21/268	9	{Pot broaches}	B23F21/26	B23F21/26		56
B23F21/28	8	Shaving cutters	B23F21/28	B23F21/28		194
B23F21/282	9	{with inserted cutting elements}	B23F21/28	B23F21/28		4
B23F21/284	10	{in exchangeable arrangement}	B23F21/28	B23F21/28		53
B23F21/286	9	{having the shape of an internal gear}	B23F21/28	B23F21/28		12
B23F21/288	9	{the cutting edges on consecutive teeth being helically arranged}	B23F21/28	B23F21/28		31
B23F23/00	7	Accessories or equipment combined with or arranged in, or specially designed to form part of, gear-cutting machines (accessories or equipment not restricted to gear-cutting machines B23Q)	B23F23/00	B23F23/00		1243
B23F23/003	8	{Generating mechanisms}	B23F23/00	B23F23/00		181
B23F23/006	8	{Equipment for synchronising movement of cutting tool and workpiece, the cutting tool and workpiece not being mechanically coupled}	B23F23/00	B23F23/00		323
B23F23/02	8	Loading, {unloading} or chucking arrangements for workpieces	B23F23/02	B23F23/02		77
B23F23/04	9	Loading {or unloading} arrangements	B23F23/04	B23F23/04		452
B23F23/06	9	Chucking arrangements	B23F23/06	B23F23/06		1747
B23F23/08	8	Index mechanisms	B23F23/08	B23F23/08		354
B23F23/085	9	{of the continuous type}	B23F23/08	B23F23/08		107
B23F23/10	8	Arrangements for compensating irregularities in drives or indexing mechanisms	B23F23/10	B23F23/10		244
B23F23/12	8	Other devices, e.g. tool holders; Checking devices for controlling workpieces in machines for manufacturing gear teeth	B23F23/12	B23F23/12		812
B23F23/1206	9	{Tool mountings}	B23F23/12	B23F23/12		143
B23F23/1212	10	{using fluid pressure means}	B23F23/12	B23F23/12		25
B23F23/1218	9	{Checking devices for controlling workpieces in machines for manufacturing gear teeth}	B23F23/12	B23F23/12		298
B23F23/1225	9	{Arrangements of abrasive wheel dressing devices on gear-cutting machines (dressing devices per seB24B53/00)}	B23F23/12	B23F23/12		372
B23F23/1231	10	{using a gear-shaped dressing tool}	B23F23/12	B23F23/12		73
B23F23/1237	9	{Tool holders}	B23F23/12	B23F23/12		209
B23F23/1243	10	{Hob holders}	B23F23/12	B23F23/12		225
B23F23/125	10	{Face mill holders}	B23F23/12	B23F23/12		87
B23F23/1256	10	{Rack cutter holders}	B23F23/12	B23F23/12		16
B23F23/1262	10	{Grinding disc holders; Disc-type milling-cutter holders}	B23F23/12	B23F23/12		181
B23F23/1268	10	{Face-mill-type grinding wheel holders}	B23F23/12	B23F23/12		23
B23F23/1275	10	{Grinding or honing worm holders}	B23F23/12	B23F23/12		36
B23F23/1281	10	{Honing, shaving or lapping tool holders}	B23F23/12	B23F23/12		162
B23F23/1287	10	{Pinion shaper cutter holders}	B23F23/12	B23F23/12		148
B23F23/1293	9	{Workpiece heads}	B23F23/12	B23F23/12		259
