F16F7/124	9	{characterised by their special construction from fibre-reinforced plastics}	F16F7/12	F16F7/12		139
F16F7/125	9	{Units with a telescopic-like action as one member moves into, or out of a second member (F16F7/124, F16F7/127, F16F7/128 take precedence)}	F16F7/12	F16F7/12		445
F16F7/126	10	{against the action of shear pins; one member having protuberances, e.g. dimples, ball bearings which cause the other member to deform}	F16F7/12	F16F7/12		84
F16F7/127	9	{by a blade element cutting or tearing into a quantity of material; Pultrusion of a filling material}	F16F7/12	F16F7/12		251
F16F7/128	9	{characterised by the members, e.g. a flat strap, yielding through stretching, pulling apart}	F16F7/12	F16F7/12		325
F16F7/14	8	of cable support type, i.e. frictionally-engaged loop-forming cables	F16F7/14	F16F7/14		451
F16F9/00	7	Springs, vibration-dampers, shock-absorbers, or similarly-constructed movement-dampers using a fluid or the equivalent as damping medium (F16F5/00 takes precedence; connection of valves to inflatable elastic bodies B60C29/00; {braking devices, stops or buffers for wing-operating appliances E05F3/00, E05F5/00})	F16F9/00	F16F9/00		399
F16F9/003	8	{Dampers characterised by having pressure absorbing means other than gas, e.g. sponge rubber}	F16F9/00	F16F9/00		350
F16F9/006	8	{characterised by the nature of the damping medium, e.g. biodegradable (variable viscosity damping adjustment F16F9/53)}	F16F9/00	F16F9/00		216
F16F9/02	8	using gas only {or vacuum (F16F9/006 takes precedence)}	F16F9/02	F16F9/02		816
F16F9/0209	9	{Telescopic (F16F9/04 takes precedence)}	F16F9/02	F16F9/02		596
F16F9/0218	10	{Mono-tubular units (F16F9/0227, F16F9/0236, F16F9/0245 take precedence)}	F16F9/02	F16F9/02		833
F16F9/0227	10	{characterised by the piston construction}	F16F9/02	F16F9/02		352
F16F9/0236	10	{characterised by having a hollow piston rod}	F16F9/02	F16F9/02		124
F16F9/0245	10	{Means for adjusting the length of, or for locking, the spring or dampers}	F16F9/02	F16F9/02		331
F16F9/0254	11	{mechanically lockable, e.g. by use of friction collar (mechanical locking of extensible devices for holding wings E05C17/30)}	F16F9/02	F16F9/02		146
F16F9/0263	11	{characterised by actuation means, e.g. manually-operated lever arrangement (F16F9/0254 takes precedence)}	F16F9/02	F16F9/02		127
F16F9/0272	11	{with control rod extending through the piston rod into the piston}	F16F9/02	F16F9/02		64
F16F9/0281	10	{Details}	F16F9/02	F16F9/02		445
F16F9/029	11	{electrical, e.g. connections or contacts}	F16F9/02	F16F9/02		60
F16F9/04	9	in a chamber with a flexible wall {(producing hollow articles of plastics, e.g. air bellows, B29D22/00)}	F16F9/04	F16F9/04		705
F16F9/0409	10	{characterised by the wall structure}	F16F9/04	F16F9/04		365
F16F9/0418	10	{having a particular shape, e.g. annular, spherical, tube-like (F16F9/05 takes precedence)}	F16F9/04	F16F9/04		234
F16F9/0427	11	{toroidal}	F16F9/04	F16F9/04		79
F16F9/0436	10	{characterised by being contained in a generally closed space}	F16F9/04	F16F9/04		197
F16F9/0445	10	{characterised by intermediate rings or other not embedded reinforcing elements (wall structure F16F9/0409)}	F16F9/04	F16F9/04		130
