A47F7/19	8	for garments (for hosiery A47F7/10; for ties or collars A47F7/12; dummies, busts or the like A47F8/00; wardrobes with garment-holders A47B61/00; household implements used in connection with wearing apparel or dress holders, {e.g. garment supporting racks}A47G25/00)	A47F7/19	A47F7/19		687
A47F2007/195	9	{Virtual display of clothes on the wearer by means of a mirror, screen or the like}	A47F7/19	A47F7/19		80
A47F7/22	9	for shirts	A47F7/22	A47F7/22		51
A47F7/24	9	Clothes racks {(A47G25/06 takes precedence)}	A47F7/24	A47F7/24		639
A47F7/26	10	extensible from a showcase	A47F7/26	A47F7/26		100
A47F7/28	8	for containers, e.g. flasks, bottles {, tins, milk packs (racks or containers with dispensing arrangements A47F1/04; for lipsticks or markers A47F7/0021; for audio/video cassettes or booklike articles A47F7/14)}	A47F7/28	A47F7/28		677
A47F7/281	9	{for vertically-stacked containers; Stabilising means therefor}	A47F7/28	A47F7/28		162
A47F7/283	9	{Show stands or the like having a compartment for each container}	A47F7/28	A47F7/28		399
A47F7/285	9	{Show stands having fixation means, e.g. hanging means, slidable fixations, frictional retaining means, theft prevention}	A47F7/28	A47F7/28		272
A47F7/286	9	{Show stands having sampling means, e.g. colour, taste, perfume}	A47F7/28	A47F7/28		122
A47F7/288	9	{Oil container show stands for oil service stations}	A47F7/28	A47F7/28		47
A47F7/30	8	for furniture, e.g. beds, mattresses	A47F7/30	A47F7/30		319
A47F8/00	7	Dummies, busts or the like, e.g. for displaying garments (tailors&apos; dummies A41H5/00; {artificial limbs A61F; dolls in general A63H})	A47F8/00	A47F8/00		896
A47F8/02	8	Wire figures; Contour figures for displaying garments {(A47F7/10, A47F7/12 take precedence)}	A47F8/02	A47F8/02		352
A47F9/00	7	Shop, bar, bank or like counters (show cases or show cabinets A47F3/00; safety transaction partitions, e.g. movable pay plates, E05G7/00)	A47F9/00	A47F9/00		610
A47F9/005	8	{with extendable shelves}	A47F9/00	A47F9/00		21
A47F9/02	8	Paying counters {(change plates, coin dispensers with rotatable change dishes G07D)}	A47F9/02	A47F9/02		163
A47F9/04	9	Check-out counters, e.g. for self-service stores	A47F9/04	A47F9/04		668
A47F2009/041	10	{Accessories for check-out counters, e.g. dividers}	A47F9/04	A47F9/04		173
A47F9/042	10	{Shopping bags or carton-dispensing systems therefor}	A47F9/04	A47F9/04		296
A47F9/043	11	{with mechanical action}	A47F9/04	A47F9/04		67
A47F2009/044	11	{dispensing from a roll}	A47F9/04	A47F9/04		118
