G09F1/00	7	Cardboard or like show-cards of foldable or flexible material	G09F1/00	G09F1/00		442
G09F13/04	8	Signs, boards or panels, illuminated from behind the insignia	G09F13/04	G09F13/04		5738
G09F13/0404	9	{the light source being enclosed in a box forming the character of the sign}	G09F13/04	G09F13/04		1745
G09F13/0409	9	{Arrangements for homogeneous illumination of the display surface, e.g. using a layer having a non-uniform transparency (arrangements of reflectors G09F13/14)}	G09F13/04	G09F13/04		615
G09F13/0413	9	{Frames or casing structures therefor}	G09F13/04	G09F13/04		3300
G09F13/0418	9	{Constructional details}<br><br><u>WARNING</u><br>Group G09F13/0418 is impacted by reclassification into groups G09F13/0456 and G09F13/0458. <br>Groups G09F13/0418, G09F13/0456 and G09F13/0458 should be considered in order to perform a complete search.	G09F13/04	G09F13/04		760
G09F13/0422	10	{Reflectors}	G09F13/04	G09F13/04		595
G09F13/0427	10	{in the form of buttons}	G09F13/04	G09F13/04		90
G09F13/0431	10	{Signs, boards or panels connected to a pole}	G09F13/04	G09F13/04		85
G09F13/0436	10	{Signs, boards or panels attached to ceilings}	G09F13/04	G09F13/04		99
G09F13/044	10	{Signs, boards or panels mounted on vehicles}	G09F13/04	G09F13/04		456
G09F13/0445	10	{Frames}<br><br><u>WARNING</u><br>Group G09F13/0445 is impacted by reclassification into groups G09F13/0446, G09F13/0447 and G09F13/0448. <br>All groups listed in this Warning should be considered in order to perform a complete search.	G09F13/04	G09F13/04		1404
G09F13/0446	11	{collapsible}<br><br><u>WARNING</u><br>Group G09F13/0446 is incomplete pending reclassification of documents from group G09F13/0445. <br>Groups G09F13/0445 and G09F13/0446 should be considered in order to perform a complete search.	G09F13/04	G09F13/04		51
G09F13/0447	11	{compartmented}<br><br><u>WARNING</u><br>Group G09F13/0447 is incomplete pending reclassification of documents from group G09F13/0445. <br>Groups G09F13/0445 and G09F13/0447 should be considered in order to perform a complete search.	G09F13/04	G09F13/04		39
G09F13/0448	11	{double face}<br><br><u>WARNING</u><br>Group G09F13/0448 is incomplete pending reclassification of documents from group G09F13/0445. <br>Groups G09F13/0445 and G09F13/0448 should be considered in order to perform a complete search.	G09F13/04	G09F13/04		35
G09F13/045	10	{Signs, boards or panels specially adapted for doors}	G09F13/04	G09F13/04		248
G09F13/0454	10	{Slidable panels or parts}	G09F13/04	G09F13/04		569
G09F13/0456	10	{Detachable casings}<br><br><u>WARNING</u><br>Group G09F13/0456 is incomplete pending reclassification of documents from group G09F13/0418. <br>Groups G09F13/0418 and G09F13/0456 should be considered in order to perform a complete search.	G09F13/04	G09F13/04		72
G09F13/0458	10	{Interchangeable panels}<br><br><u>WARNING</u><br>Group G09F13/0458 is incomplete pending reclassification of documents from group G09F13/0418. <br>Groups G09F13/0418 and G09F13/0458 should be considered in order to perform a complete search.	G09F13/04	G09F13/04		86
G09F13/0463	10	{Portable signs, boards or panels}	G09F13/04	G09F13/04		198
G09F13/0468	10	{Signs, boards or panels with tensioned or flexible display surface}	G09F13/04	G09F13/04		144
G09F13/0472	10	{Traffic signs}	G09F13/04	G09F13/04		871
G09F13/0477	10	{Signs, boards or panels mounted on containers}	G09F13/04	G09F13/04		30
