E21D11/152	10	{Laggings made of grids or nettings}	E21D11/15	E21D11/15		1829
E21D11/155	10	{Laggings made of strips, slats, slabs or sheet piles (longitudinal struts for mine arches E21D11/28)}	E21D11/15	E21D11/15		410
E21D11/157	10	{Laggings making use of fluid cushions, e.g. the fluid containing a hardenable material (chocks made of flexible containers E21D15/483)}	E21D11/15	E21D11/15		117
E21D11/18	9	Arch members {; Network made of arch members (E21D11/36 takes precedence); Ring elements; Polygon elements; Polygon elements inside arches (caps for arches E21D17/00)}	E21D11/18	E21D11/18		2826
E21D11/183	10	{Supporting means for arch members, not provided for in E21D11/22}	E21D11/18	E21D11/18		741
E21D11/186	10	{Pre-stressing or dismantling devices therefor}	E21D11/18	E21D11/18		72
E21D11/20	10	Special cross- sections, e.g. corrugated {(for props E21D15/502; for caps E21D17/01)}	E21D11/20	E21D11/20		618
E21D11/22	10	Clamps or other yieldable means for interconnecting adjacent arch members either rigidly, or allowing arch member parts to slide when subjected to excessive pressure	E21D11/22	E21D11/22		1010
E21D11/24	10	Knuckle joints or links between arch members	E21D11/24	E21D11/24		341
E21D11/26	10	Shoes for connecting arch members to longitudinal struts	E21D11/26	E21D11/26		80
E21D11/28	9	Longitudinal struts {, i.e. longitudinal connections between adjoining arches}	E21D11/28	E21D11/28		526
E21D11/30	9	Bases for lower arch members (for props E21D15/54)	E21D11/30	E21D11/30		135
E21D11/34	9	Joints between vertical props and horizontal top bars (end caps forming part of the props E21D15/54{; retaining plates on caps for engaging the tops of pit-props E21D17/10})	E21D11/34	E21D11/34		249
E21D11/36	9	Linings or supports specially shaped for tunnels or galleries of irregular cross-section	E21D11/36	E21D11/36		43
E21D11/362	10	{for loading areas (lining shafts E21D5/00)}	E21D11/36	E21D11/36		4
E21D11/365	10	{for intersecting galleries}	E21D11/36	E21D11/36		51
E21D11/367	10	{for junction with the longwall coal face (walking supports therefor E21D23/0091)}	E21D11/36	E21D11/36		53
E21D11/38	8	Waterproofing (in general E02D31/00); Heat insulating; Soundproofing; Electric insulating (for building constructions in general E04B1/62)	E21D11/38	E21D11/38		3423
E21D11/381	9	{Setting apparatus or devices}	E21D11/38	E21D11/38		767
E21D11/383	9	{by applying waterproof flexible sheets; Means for fixing the sheets to the tunnel or cavity wall}	E21D11/38	E21D11/38		929
E21D11/385	9	{Sealing means positioned between adjacent lining members (for joints in foundation structures E02D29/16; for sewers E03F3/04; for building structures in general E04B1/68)}	E21D11/38	E21D11/38		1001
E21D11/386	10	{inflatable sealing means}	E21D11/38	E21D11/38		188
E21D11/388	10	{having longitudinal cavities communicating with the exterior on the outer side of the lining elements}	E21D11/38	E21D11/38		19
E21D11/40	8	Devices or apparatus specially adapted for handling or placing units of linings {or supporting units} for tunnels or galleries {(combined with tunnelling shields E21D9/06)}	E21D11/40	E21D11/40		2529
E21D11/403	9	{combined with the head machine}	E21D11/40	E21D11/40		96
E21D11/406	9	{Placing endless lining elements, e.g. from reels (in combination with a tunneling shield E21D9/0609)}	E21D11/40	E21D11/40		171
E21D13/00	7	Large underground chambers; Methods or apparatus for making them (lining E21D11/00)	E21D13/00	E21D13/00		702
E21D15/00	7	Props (in the building art E04G25/00); Chocks {, e.g. made of flexible containers filled with backfilling material}	E21D15/00	E21D15/00		185
E21D15/002	8	{Auxiliary devices in which the prop type is not essential (setting or withdrawing props or chocks E21D15/58, E21D15/60)}	E21D15/00	E21D15/00		74
E21D15/005	8	{characterised by the material}	E21D15/00	E21D15/00		160
E21D15/007	9	{spark-reducing}	E21D15/00	E21D15/00		18
