F16K5/14	9	Special arrangements for separating the sealing faces or for pressing them together	F16K5/14	F16K5/14		91
F16K5/16	10	for plugs with conical surfaces	F16K5/16	F16K5/16		69
F16K5/161	11	{with the housing or parts of the housing mechanically pressing the seal against the plug}	F16K5/16	F16K5/16		34
F16K5/162	11	{with the plugs or parts of the plugs mechanically pressing the seal against the housing}	F16K5/16	F16K5/16		475
F16K5/163	12	{adjustable in height}	F16K5/16	F16K5/16		96
F16K5/165	12	{Means pressing on the small diameter}	F16K5/16	F16K5/16		84
F16K5/166	12	{Means pressing on the large diameter}	F16K5/16	F16K5/16		169
F16K5/167	12	{Means pressing radially}	F16K5/16	F16K5/16		32
F16K5/168	11	{Sealing effected by the flowing medium}	F16K5/16	F16K5/16		43
F16K5/18	10	for plugs with cylindrical surfaces	F16K5/18	F16K5/18		93
F16K5/181	11	{with the housing or parts of the housing mechanically pressing the seals against the plugs}	F16K5/18	F16K5/18		86
F16K5/182	12	{by means of conical surfaces}	F16K5/18	F16K5/18		9
F16K5/184	11	{with the plugs or parts of the plugs mechanically pressing the seals against the housing}	F16K5/18	F16K5/18		355
F16K5/185	12	{by means of conical surfaces}	F16K5/18	F16K5/18		41
F16K5/187	12	{with rolling action}	F16K5/18	F16K5/18		41
F16K5/188	11	{Sealing effected by the flowing medium}	F16K5/18	F16K5/18		129
F16K5/20	10	for plugs with spherical surfaces	F16K5/20	F16K5/20		525
F16K5/201	11	{with the housing or parts of the housing mechanically pressing the seal against the plug}	F16K5/20	F16K5/20		1347
F16K5/202	12	{with conical surfaces}	F16K5/20	F16K5/20		114
F16K5/204	11	{with the plugs or parts of the plugs mechanically pressing the seals against the housing}	F16K5/20	F16K5/20		473
F16K5/205	11	{Sealing effected by the flowing medium}	F16K5/20	F16K5/20		436
F16K5/207	12	{using bellows}	F16K5/20	F16K5/20		53
F16K5/208	12	{with tongue-shaped means}	F16K5/20	F16K5/20		92
F16K5/22	9	Features relating to lubrication	F16K5/22	F16K5/22		125
F16K5/222	10	{for plugs with conical surfaces}	F16K5/22	F16K5/22		364
F16K5/225	10	{for plugs with cylindrical surfaces}	F16K5/22	F16K5/22		141
F16K5/227	10	{for plugs with spherical surfaces}	F16K5/22	F16K5/22		169
F16K7/00	7	Diaphragm {valves or} cut-off apparatus, e.g. with a member deformed, but not moved bodily, to close the passage (container gates or closures operating by deformation of flexible walls B65D90/56; means for plugging pipes or hoses F16L55/10){; Pinch valves}	F16K7/00	F16K7/00		308
F16K7/02	8	with tubular diaphragm	F16K7/02	F16K7/02		270
F16K7/04	9	constrictable by external radial force	F16K7/04	F16K7/04		225
F16K7/045	10	{by electric or magnetic means}	F16K7/04	F16K7/04		269
F16K7/06	10	by means of a screw-spindle, cam, or other mechanical means {(F16K7/045 takes precedence)}	F16K7/06	F16K7/06		700
F16K7/061	11	{Screw clamps}	F16K7/06	F16K7/06		285
F16K7/063	11	{Lever clamps}	F16K7/06	F16K7/06		223
F16K7/065	11	{Cam clamps}	F16K7/06	F16K7/06		160
F16K7/066	11	{Wedge clamps}	F16K7/06	F16K7/06		56
F16K7/068	11	{by bending the hose}	F16K7/06	F16K7/06		62
F16K7/07	10	by means of fluid pressure	F16K7/07	F16K7/07		576
F16K7/075	11	{a rigid body being located within the tubular diaphragm}	F16K7/07	F16K7/07		231
F16K7/08	9	constrictable by twisting	F16K7/08	F16K7/08		84
F16K7/10	8	with inflatable member	F16K7/10	F16K7/10		704
F16K7/12	8	with flat, dished, or bowl-shaped diaphragm	F16K7/12	F16K7/12		1096
F16K7/123	9	{the seat being formed on the bottom of the fluid line}	F16K7/12	F16K7/12		188
F16K7/126	9	{the seat being formed on a rib perpendicular to the fluid line}	F16K7/12	F16K7/12		567
F16K7/14	9	arranged to be deformed against a flat seat	F16K7/14	F16K7/14		503
F16K7/16	10	the diaphragm being mechanically actuated, e.g. by screw-spindle or cam	F16K7/16	F16K7/16		805
