G08B13/2405	11	{characterised by the tag technology used}	G08B13/24	G08B13/24		38
G08B13/2408	12	{using ferromagnetic tags}	G08B13/24	G08B13/24		467
G08B13/2411	13	{Tag deactivation}	G08B13/24	G08B13/24		272
G08B13/2414	12	{using inductive tags}	G08B13/24	G08B13/24		310
G08B13/2417	13	{having a radio frequency identification chip}	G08B13/24	G08B13/24		917
G08B13/242	13	{Tag deactivation}	G08B13/24	G08B13/24		289
G08B13/2422	12	{using acoustic or microwave tags}	G08B13/24	G08B13/24		144
G08B13/2425	13	{Tag deactivation}	G08B13/24	G08B13/24		40
G08B13/2428	11	{Tag details}	G08B13/24	G08B13/24		56
G08B13/2431	12	{Tag circuit details}	G08B13/24	G08B13/24		386
G08B13/2434	12	{Tag housing and attachment details}	G08B13/24	G08B13/24		814
G08B13/2437	12	{Tag layered structure, processes for making layered tags}	G08B13/24	G08B13/24		583
G08B13/244	13	{Tag manufacturing, e.g. continuous manufacturing processes}	G08B13/24	G08B13/24		300
G08B13/2442	13	{Tag materials and material properties thereof, e.g. magnetic material details}	G08B13/24	G08B13/24		536
G08B13/2445	13	{Tag integrated into item to be protected, e.g. source tagging}	G08B13/24	G08B13/24		366
G08B13/2448	12	{Tag with at least dual detection means, e.g. combined inductive and ferromagnetic tags, dual frequencies within a single technology, tampering detection or signalling means on the tag}	G08B13/24	G08B13/24		319
G08B13/2451	11	{Specific applications combined with EAS}	G08B13/24	G08B13/24		62
G08B13/2454	12	{Checking of authorisation of a person accessing tagged items in an EAS system}	G08B13/24	G08B13/24		143
G08B13/2457	12	{Lending systems using EAS tags wherein the tags are reusable, e.g. they can be activated and deactivated more than once, e.g. for a library}	G08B13/24	G08B13/24		46
G08B13/246	12	{Check out systems combined with EAS, e.g. price information stored on EAS tag (anti-theft systems in point of sale systems G07G3/003)}	G08B13/24	G08B13/24		316
G08B13/2462	12	{Asset location systems combined with EAS (inventory, tracking, logistic G06Q10/00; entrance control systems G07C9/00)}	G08B13/24	G08B13/24		855
G08B13/2465	11	{Aspects related to the EAS system, e.g. system components other than tags}	G08B13/24	G08B13/24		40
G08B13/2468	12	{Antenna in system and the related signal processing}	G08B13/24	G08B13/24		44
G08B13/2471	13	{Antenna signal processing by receiver or emitter}	G08B13/24	G08B13/24		360
G08B13/2474	13	{Antenna or antenna activator geometry, arrangement or layout (loop antennae H01Q1/22)}	G08B13/24	G08B13/24		380
G08B13/2477	13	{Antenna or antenna activator circuit}	G08B13/24	G08B13/24		169
G08B13/248	12	{EAS system combined with another detection technology, e.g. dual EAS and video or other presence detection system}	G08B13/24	G08B13/24		369
G08B13/2482	12	{EAS methods, e.g. description of flow chart of the detection procedure}	G08B13/24	G08B13/24		263
G08B13/2485	12	{Simultaneous detection of multiple EAS tags}	G08B13/24	G08B13/24		113
G08B13/2488	12	{Timing issues, e.g. synchronising measures to avoid signal collision, with multiple emitters or a single emitter and receiver}	G08B13/24	G08B13/24		180
G08B13/2491	10	{Intrusion detection systems, i.e. where the body of an intruder causes the interference with the electromagnetic field}	G08B13/24	G08B13/24		894
G08B13/2494	11	{by interference with electro-magnetic field distribution combined with other electrical sensor means, e.g. microwave detectors combined with other sensor means}	G08B13/24	G08B13/24		263
G08B13/2497	11	{using transmission lines, e.g. cable}	G08B13/24	G08B13/24		185
G08B13/26	9	by proximity of an intruder causing variation in capacitance or inductance of a circuit	G08B13/26	G08B13/26		650
G08B15/00	7	Identifying, scaring or incapacitating burglars, thieves or intruders, e.g. by explosives	G08B15/00	G08B15/00		1643
G08B15/001	8	{Concealed systems, e.g. disguised alarm systems to make covert systems}	G08B15/00	G08B15/00		272
G08B15/002	8	{with occupancy simulation}	G08B15/00	G08B15/00		251
G08B15/004	8	{using portable personal devices (hand-held or body-worn self-defence devices using repellent gases or chemicals F41H9/10)}	G08B15/00	G08B15/00		482
G08B15/005	8	{by electric shock}	G08B15/00	G08B15/00		172
G08B15/007	8	{by trapping}	G08B15/00	G08B15/00		138
G08B15/008	8	{by simulating the existence of a security system, e.g. a mock video camera to scare thieves}	G08B15/00	G08B15/00		32
G08B15/02	8	with smoke, gas, or coloured or odorous powder or liquid	G08B15/02	G08B15/02		950
