G07B2017/00709	10	{Scanning mailpieces}	G07B17/00	G07B17/00		204
G07B2017/00717	11	{Reading barcodes}	G07B17/00	G07B17/00		147
G07B2017/00725	11	{Reading symbols, e.g. OCR}	G07B17/00	G07B17/00		128
G07B17/00733	8	{Cryptography or similar special procedures in a franking system}<br><br><u>NOTE</u><br><br>References listed below indicate CPC places which could also be of interest when carrying out a search in respect of the subject matter covered by the preceding group: <br>secret or secure communication H04L9/00<br>mechanisms actuated by objects other thancoins to free or to actuate vending, hiring, coin or paper currency dispensing or refunding apparatus for cashless transactions only G07F7/10<br>access-control involving the use of a pass in combination with an identity-check of the pass- holder by means of personal physical data, e.g. characteristic facial curves, hand geometry, voice spectrum, fingerprints G07C9/00<br>recognising characters or patterns in general G06F18/00, G06V30/00<br>random or pseudo-random generators G06F7/58<br>circuits generating pulses having a predetermined statistical distribution H03K3/84<br>multiple service credit cards with protecting memory zones G07F7/10<br>security arrangements for protecting computers or computer systems against unauthorised activity G06F21/00<br>record carriers with conductive marks and special arrangements for circuits, e.g. for protecting identification code in memory G06K19/073<br>error detection and error correction G06F11/00<br>coding, decoding or code conversion, for error detection or error correction H03M13/00. 	G07B17/00	G07B17/00		423
G07B2017/00741	9	{using specific cryptographic algorithms or functions}	G07B17/00	G07B17/00		22
G07B2017/0075	10	{Symmetric, secret-key algorithms, e.g. DES, RC2, RC4, IDEA, Skipjack, CAST, AES}	G07B17/00	G07B17/00		56
G07B2017/00758	10	{Asymmetric, public-key algorithms, e.g. RSA, Elgamal}	G07B17/00	G07B17/00		36
G07B2017/00766	11	{Digital signature, e.g. DSA, DSS, ECDSA, ESIGN}	G07B17/00	G07B17/00		107
G07B2017/00774	10	{MAC (Message Authentication Code), e.g. DES-MAC}	G07B17/00	G07B17/00		28
G07B2017/00782	10	{Hash function, e.g. MD5, MD2, SHA}	G07B17/00	G07B17/00		34
G07B2017/0079	9	{Time-dependency}	G07B17/00	G07B17/00		17
G07B2017/00798	10	{using timestamps, i.e. recording time in message}	G07B17/00	G07B17/00		8
G07B2017/00806	10	{Limited validity time}	G07B17/00	G07B17/00		13
G07B2017/00814	10	{Continuous communication, e.g. answer within a limited time period}	G07B17/00	G07B17/00		5
G07B2017/00822	9	{including unique details}	G07B17/00	G07B17/00		24
G07B2017/0083	10	{Postal data, e.g. postage, address, sender, machine ID, vendor}	G07B17/00	G07B17/00		113
G07B2017/00838	10	{Personal data, i.e. biometrics}	G07B17/00	G07B17/00		55
G07B2017/00846	9	{Key management}	G07B17/00	G07B17/00		26
G07B2017/00854	10	{Key generation}	G07B17/00	G07B17/00		22
G07B2017/00862	10	{Key storage, e.g. escrowing by trusted third party}	G07B17/00	G07B17/00		7
G07B2017/0087	10	{Key distribution}	G07B17/00	G07B17/00		27
G07B2017/00879	11	{using session key}	G07B17/00	G07B17/00		9
G07B2017/00887	11	{using look-up tables, also called master tables with pointers}	G07B17/00	G07B17/00		15
G07B2017/00895	10	{Key verification, e.g. by using trusted party}	G07B17/00	G07B17/00		15
G07B2017/00903	10	{Key destruction or retirement}	G07B17/00	G07B17/00		1
G07B2017/00911	9	{Trusted party}	G07B17/00	G07B17/00		15
G07B2017/00919	9	{Random number generator}	G07B17/00	G07B17/00		25
G07B2017/00927	9	{Certificates, e.g. X.509}	G07B17/00	G07B17/00		23
G07B2017/00935	9	{Passwords}	G07B17/00	G07B17/00		107
G07B2017/00943	9	{Compression techniques}	G07B17/00	G07B17/00		3
G07B2017/00951	9	{Error handling, e.g. EDC (Error Detection Codes)}	G07B17/00	G07B17/00		21
G07B2017/00959	9	{Cryptographic modules, e.g. a PC encryption board}	G07B17/00	G07B17/00		11
G07B2017/00967	10	{PSD [Postal Security Device] as defined by the USPS [US Postal Service]}	G07B17/00	G07B17/00		166
G07B17/00975	8	{using mechanical accounting means}	G07B17/00	G07B17/00		7
G07B17/00983	8	{with means for resetting the monetary value of the accounting means}	G07B17/00	G07B17/00		1
G07B17/00991	9	{from a central point, e.g. post office}	G07B17/00	G07B17/00		
G07B17/02	8	with means for computing or counting {(G07B17/00975 takes precedence)}	G07B17/02	G07B17/02		14
G07B17/04	8	with means for avoiding misuse	G07B17/04	G07B17/04		6
